County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,852	1,294	21.05%	6,146	422	235	35.77%	657
ALACHUA	281	27	8.77%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	51	3	5.56%	54	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	131	34	20.61%	165	0	0		0
BROWARD	379	97	20.38%	476	65	20	23.53%	85
CALHOUN	0	0		0	0	0		0
CHARLOTTE	51	3	5.56%	54	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	44	8	15.38%	52	2	2	50.00%	4
COLLIER	66	19	22.35%	85	0	0		0
COLUMBIA	17	0	0.00%	17	0	0		0
DESOTO	6	7	53.85%	13	0	0		0
DUVAL	343	94	21.51%	437	14	26	65.00%	40
ESCAMBIA	126	15	10.64%	141	5	11	68.75%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	46	16	25.81%	62	0	0		0
HIGHLANDS	23	6	20.69%	29	0	0		0
HILLSBOROUGH	345	46	11.76%	391	25	15	37.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	13	40.63%	32	0	0		0
JACKSON	5	6	54.55%	11	0	0		0
LAKE	70	34	32.69%	104	0	0		0
LEE	115	23	16.67%	138	63	23	26.74%	86
LEON	69	3	4.17%	72	5	4	44.44%	9
MADISON	0	0		0	0	0		0
MANATEE	51	17	25.00%	68	0	0		0
MARION	71	7	8.97%	78	0	0		0
MARTIN	16	6	27.27%	22	0	0		0
MIAMI-DADE	748	205	21.51%	953	59	52	46.85%	111
MONROE	9	4	30.77%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	51	3	5.56%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	298	102	25.50%	400	80	46	36.51%	126
OSCEOLA	90	33	26.83%	123	0	0		0
PALM BEACH	254	144	36.18%	398	15	17	53.13%	32
PASCO	134	11	7.59%	145	0	0		0
PINELLAS	256	72	21.95%	328	32	5	13.51%	37
POLK	140	43	23.50%	183	14	0	0.00%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	12	11	47.83%	23	0	0		0
SARASOTA	80	30	27.27%	110	0	0		0
SEMINOLE	65	8	10.96%	73	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	74	16	17.78%	90	3	3	50.00%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	159	90	36.14%	249	0	0		0
WALTON	21	2	8.70%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
