County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,882	1,322	21.31%	6,204	418	263	38.62%	681
ALACHUA	272	36	11.69%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	55	9	14.06%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	131	47	26.40%	178	0	0		0
BROWARD	402	96	19.28%	498	44	41	48.24%	85
CALHOUN	0	0		0	0	0		0
CHARLOTTE	48	4	7.69%	52	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	51	11	17.74%	62	3	1	25.00%	4
COLLIER	71	14	16.47%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	334	103	23.57%	437	21	7	25.00%	28
ESCAMBIA	132	20	13.16%	152	5	11	68.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	41	22	34.92%	63	0	0		0
HIGHLANDS	24	3	11.11%	27	0	0		0
HILLSBOROUGH	321	79	19.75%	400	21	21	50.00%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	29	5	14.71%	34	0	0		0
JACKSON	4	3	42.86%	7	0	0		0
LAKE	75	29	27.88%	104	0	0		0
LEE	122	22	15.28%	144	68	18	20.93%	86
LEON	61	11	15.28%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	57	11	16.18%	68	0	0		0
MARION	84	13	13.40%	97	0	0		0
MARTIN	11	10	47.62%	21	0	0		0
MIAMI-DADE	748	202	21.26%	950	72	64	47.06%	136
MONROE	8	5	38.46%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	44	10	18.52%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	288	104	26.53%	392	76	50	39.68%	126
OSCEOLA	97	30	23.62%	127	0	0		0
PALM BEACH	284	115	28.82%	399	14	18	56.25%	32
PASCO	121	23	15.97%	144	0	0		0
PINELLAS	271	68	20.06%	339	37	4	9.76%	41
POLK	138	45	24.59%	183	10	4	28.57%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	11	11	50.00%	22	0	0		0
SARASOTA	78	34	30.36%	112	0	0		0
SEMINOLE	57	16	21.92%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	73	17	18.89%	90	3	3	50.00%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	165	50	23.26%	215	1	4	80.00%	5
WALTON	19	3	13.64%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
