County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,658	1,486	24.19%	6,144	373	297	44.33%	670
ALACHUA	250	58	18.83%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	51	0	0.00%	51	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	135	33	19.64%	168	0	0		0
BROWARD	330	126	27.63%	456	42	43	50.59%	85
CALHOUN	0	0		0	0	0		0
CHARLOTTE	49	2	3.92%	51	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	43	7	14.00%	50	3	1	25.00%	4
COLLIER	66	18	21.43%	84	0	0		0
COLUMBIA	9	0	0.00%	9	0	0		0
DESOTO	2	6	75.00%	8	0	0		0
DUVAL	322	115	26.32%	437	21	19	47.50%	40
ESCAMBIA	118	23	16.31%	141	4	12	75.00%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	40	22	35.48%	62	0	0		0
HIGHLANDS	26	2	7.14%	28	0	0		0
HILLSBOROUGH	315	105	25.00%	420	23	19	45.24%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	13	15	53.57%	28	0	0		0
JACKSON	13	0	0.00%	13	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	106	29	21.48%	135	63	23	26.74%	86
LEON	59	13	18.06%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	56	14	20.00%	70	0	0		0
MARION	86	6	6.52%	92	0	0		0
MARTIN	20	2	9.09%	22	0	0		0
MIAMI-DADE	767	203	20.93%	970	64	49	43.36%	113
MONROE	7	6	46.15%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	241	159	39.75%	400	65	71	52.21%	136
OSCEOLA	69	54	43.90%	123	0	0		0
PALM BEACH	276	128	31.68%	404	16	16	50.00%	32
PASCO	134	15	10.07%	149	0	0		0
PINELLAS	276	53	16.11%	329	26	5	16.13%	31
POLK	132	48	26.67%	180	8	6	42.86%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	78	32	29.09%	110	0	0		0
SEMINOLE	65	8	10.96%	73	0	0		0
ST. JOHNS	18	26	59.09%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	3	3	50.00%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	166	57	25.56%	223	1	4	80.00%	5
WALTON	5	18	78.26%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
