County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,160	17,130	27.95%	61,290
ALACHUA	1,383	323	18.93%	1,706
BAKER	490	138	21.97%	628
BAY	432	114	20.88%	546
BRADFORD	5	5	50.00%	10
BREVARD	1,140	463	28.88%	1,603
BROWARD	4,079	1,167	22.25%	5,246
CALHOUN	4	6	60.00%	10
CHARLOTTE	441	166	27.35%	607
CITRUS	208	95	31.35%	303
CLAY	457	101	18.10%	558
COLLIER	658	185	21.95%	843
COLUMBIA	90	1	1.10%	91
DESOTO	19	36	65.45%	55
DUVAL	2,671	1,096	29.09%	3,767
ESCAMBIA	1,025	431	29.60%	1,456
FLAGLER	82	17	17.17%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	630	323	33.89%	953
GULF	9	12	57.14%	21
HARDEE	23	2	8.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	496	235	32.15%	731
HIGHLANDS	191	65	25.39%	256
HILLSBOROUGH	3,109	653	17.36%	3,762
HOLMES	15	5	25.00%	20
INDIAN RIVER	298	159	34.79%	457
JACKSON	40	45	52.94%	85
LAKE	630	273	30.23%	903
LEE	1,406	415	22.79%	1,821
LEON	675	182	21.24%	857
MADISON	4	6	60.00%	10
MANATEE	691	91	11.64%	782
MARION	743	145	16.33%	888
MARTIN	237	276	53.80%	513
MIAMI-DADE	6,045	2,538	29.57%	8,583
MONROE	81	101	55.49%	182
NASSAU	27	41	60.29%	68
OKALOOSA	353	98	21.73%	451
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,189	1,729	35.16%	4,918
OSCEOLA	850	311	26.79%	1,161
PALM BEACH	2,528	1,458	36.58%	3,986
PASCO	1,085	260	19.33%	1,345
PINELLAS	2,222	1,022	31.50%	3,244
POLK	1,237	372	23.12%	1,609
PUTNAM	61	23	27.38%	84
SANTA ROSA	107	233	68.53%	340
SARASOTA	926	287	23.66%	1,213
SEMINOLE	702	242	25.64%	944
ST. JOHNS	178	153	46.22%	331
ST. LUCIE	704	175	19.91%	879
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	63	27	30.00%	90
VOLUSIA	1,010	561	35.71%	1,571
WALTON	48	69	58.97%	117
WASHINGTON	42	17	28.81%	59
