County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,044	1,261	20.00%	6,305	379	244	39.17%	623
ALACHUA	283	25	8.12%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	46	16	25.81%	62	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	122	53	30.29%	175	0	0		0
BROWARD	400	101	20.16%	501	34	29	46.03%	63
CALHOUN	0	0		0	0	0		0
CHARLOTTE	36	13	26.53%	49	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	41	1	2.38%	42	2	2	50.00%	4
COLLIER	59	26	30.59%	85	0	0		0
COLUMBIA	17	3	15.00%	20	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	602	100	14.25%	702	24	16	40.00%	40
ESCAMBIA	132	9	6.38%	141	6	10	62.50%	16
FLAGLER	11	7	38.89%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	54	8	12.90%	62	0	0		0
HIGHLANDS	25	7	21.88%	32	0	0		0
HILLSBOROUGH	322	57	15.04%	379	19	19	50.00%	38
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	12	37.50%	32	0	0		0
JACKSON	5	4	44.44%	9	0	0		0
LAKE	80	24	23.08%	104	0	0		0
LEE	114	26	18.57%	140	63	23	26.74%	86
LEON	62	10	13.89%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	44	14	24.14%	58	0	0		0
MARION	88	8	8.33%	96	0	0		0
MARTIN	15	24	61.54%	39	0	0		0
MIAMI-DADE	773	165	17.59%	938	70	43	38.05%	113
MONROE	10	0	0.00%	10	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	40	14	25.93%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	289	83	22.31%	372	71	41	36.61%	112
OSCEOLA	79	44	35.77%	123	0	6	100.00%	6
PALM BEACH	280	119	29.82%	399	18	14	43.75%	32
PASCO	113	21	15.67%	134	0	0		0
PINELLAS	240	60	20.00%	300	27	15	35.71%	42
POLK	132	15	10.20%	147	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	11	12	52.17%	23	0	0		0
SARASOTA	68	45	39.82%	113	0	0		0
SEMINOLE	62	11	15.07%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	73	17	18.89%	90	3	3	50.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	170	48	22.02%	218	1	4	80.00%	5
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
