County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,262	12,203	19.54%	62,465
ALACHUA	1,545	200	11.46%	1,745
BAKER	481	144	23.04%	625
BAY	465	96	17.11%	561
BRADFORD	5	5	50.00%	10
BREVARD	1,266	385	23.32%	1,651
BROWARD	4,549	865	15.98%	5,414
CALHOUN	5	5	50.00%	10
CHARLOTTE	445	155	25.83%	600
CITRUS	236	78	24.84%	314
CLAY	491	74	13.10%	565
COLLIER	793	109	12.08%	902
COLUMBIA	91	0	0.00%	91
DESOTO	36	26	41.94%	62
DUVAL	2,900	859	22.85%	3,759
ESCAMBIA	1,103	362	24.71%	1,465
FLAGLER	97	3	3.00%	100
FRANKLIN	1	14	93.33%	15
GADSDEN	651	302	31.69%	953
GULF	8	13	61.90%	21
HARDEE	25	0	0.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	600	148	19.79%	748
HIGHLANDS	254	19	6.96%	273
HILLSBOROUGH	3,514	647	15.55%	4,161
HOLMES	11	9	45.00%	20
INDIAN RIVER	359	112	23.78%	471
JACKSON	57	35	38.04%	92
LAKE	763	175	18.66%	938
LEE	1,619	222	12.06%	1,841
LEON	763	103	11.89%	866
MADISON	8	7	46.67%	15
MANATEE	698	82	10.51%	780
MARION	898	94	9.48%	992
MARTIN	312	133	29.89%	445
MIAMI-DADE	6,927	1,877	21.32%	8,804
MONROE	86	83	49.11%	169
NASSAU	40	28	41.18%	68
OKALOOSA	391	71	15.37%	462
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,645	1,000	21.53%	4,645
OSCEOLA	978	182	15.69%	1,160
PALM BEACH	3,084	1,054	25.47%	4,138
PASCO	1,195	259	17.81%	1,454
PINELLAS	2,577	641	19.92%	3,218
POLK	1,577	251	13.73%	1,828
PUTNAM	65	19	22.62%	84
SANTA ROSA	138	131	48.70%	269
SARASOTA	1,149	118	9.31%	1,267
SEMINOLE	785	162	17.11%	947
ST. JOHNS	203	129	38.86%	332
ST. LUCIE	759	108	12.46%	867
SUMTER	264	83	23.92%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	51	24	32.00%	75
VOLUSIA	1,117	370	24.88%	1,487
WALTON	74	40	35.09%	114
WASHINGTON	41	18	30.51%	59
