County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,659	1,566	25.16%	6,225	380	288	43.11%	668
ALACHUA	254	54	17.53%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	44	20	31.25%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	125	43	25.60%	168	0	0		0
BROWARD	337	119	26.10%	456	35	47	57.32%	82
CALHOUN	0	0		0	0	0		0
CHARLOTTE	47	4	7.84%	51	0	0		0
CITRUS	33	17	34.00%	50	0	0		0
CLAY	41	9	18.00%	50	1	3	75.00%	4
COLLIER	61	24	28.24%	85	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	312	125	28.60%	437	23	17	42.50%	40
ESCAMBIA	112	29	20.57%	141	5	11	68.75%	16
FLAGLER	17	1	5.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	42	20	32.26%	62	0	0		0
HIGHLANDS	31	3	8.82%	34	0	0		0
HILLSBOROUGH	311	76	19.64%	387	28	9	24.32%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	14	20	58.82%	34	0	0		0
JACKSON	12	0	0.00%	12	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	105	29	21.64%	134	62	24	27.91%	86
LEON	57	15	20.83%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	53	15	22.06%	68	0	0		0
MARION	77	9	10.47%	86	0	0		0
MARTIN	20	2	9.09%	22	0	0		0
MIAMI-DADE	760	202	21.00%	962	68	48	41.38%	116
MONROE	7	6	46.15%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	244	158	39.30%	402	64	72	52.94%	136
OSCEOLA	67	56	45.53%	123	0	0		0
PALM BEACH	287	128	30.84%	415	13	20	60.61%	33
PASCO	136	15	9.93%	151	0	0		0
PINELLAS	257	71	21.65%	328	25	5	16.67%	30
POLK	134	46	25.56%	180	11	3	21.43%	14
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	15	8	34.78%	23	0	0		0
SARASOTA	77	29	27.36%	106	0	0		0
SEMINOLE	60	13	17.81%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	3	3	50.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	219	86	28.20%	305	5	3	37.50%	8
WALTON	5	18	78.26%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
