County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,632	1,399	23.20%	6,031	387	219	36.14%	606
ALACHUA	268	40	12.99%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	53	9	14.52%	62	2	2	50.00%	4
BREVARD	112	51	31.29%	163	0	0		0
BROWARD	408	72	15.00%	480	35	26	42.62%	61
CALHOUN	0	0		0	0	0		0
CHARLOTTE	37	12	24.49%	49	0	0		0
CITRUS	28	12	30.00%	40	0	0		0
CLAY	34	7	17.07%	41	5	1	16.67%	6
COLLIER	58	23	28.40%	81	0	0		0
COLUMBIA	22	2	8.33%	24	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	317	120	27.46%	437	19	21	52.50%	40
ESCAMBIA	102	16	13.56%	118	3	13	81.25%	16
FLAGLER	10	8	44.44%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	56	15	21.13%	71	0	0		0
HIGHLANDS	22	13	37.14%	35	0	0		0
HILLSBOROUGH	354	68	16.11%	422	19	22	53.66%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	13	43.33%	30	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	62	25	28.74%	87	0	0		0
LEE	77	41	34.75%	118	57	26	31.33%	83
LEON	55	17	23.61%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	59	32	35.16%	91	0	0		0
MARION	71	34	32.38%	105	0	0		0
MARTIN	10	25	71.43%	35	0	0		0
MIAMI-DADE	742	249	25.13%	991	68	12	15.00%	80
MONROE	4	10	71.43%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	49	7	12.50%	56	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	242	62	20.39%	304	84	42	33.33%	126
OSCEOLA	75	13	14.77%	88	1	5	83.33%	6
PALM BEACH	297	114	27.74%	411	13	19	59.38%	32
PASCO	137	5	3.52%	142	0	0		0
PINELLAS	249	73	22.67%	322	40	4	9.09%	44
POLK	133	32	19.39%	165	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	9	12	57.14%	21	0	0		0
SARASOTA	69	47	40.52%	116	0	0		0
SEMINOLE	63	9	12.50%	72	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	4	2	33.33%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	157	49	23.79%	206	0	5	100.00%	5
WALTON	11	11	50.00%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
