County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,716	14,977	25.09%	59,693
ALACHUA	1,428	275	16.15%	1,703
BAKER	129	496	79.36%	625
BAY	442	129	22.59%	571
BRADFORD	5	5	50.00%	10
BREVARD	1,207	447	27.03%	1,654
BROWARD	4,186	982	19.00%	5,168
CALHOUN	5	5	50.00%	10
CHARLOTTE	461	232	33.48%	693
CITRUS	221	70	24.05%	291
CLAY	483	75	13.44%	558
COLLIER	735	153	17.23%	888
COLUMBIA	93	14	13.08%	107
DESOTO	27	28	50.91%	55
DUVAL	2,776	983	26.15%	3,759
ESCAMBIA	1,021	474	31.71%	1,495
FLAGLER	84	15	15.15%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	7	14	66.67%	21
HARDEE	21	4	16.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	499	227	31.27%	726
HIGHLANDS	205	61	22.93%	266
HILLSBOROUGH	3,157	669	17.49%	3,826
HOLMES	5	15	75.00%	20
INDIAN RIVER	299	161	35.00%	460
JACKSON	47	55	53.92%	102
LAKE	637	259	28.91%	896
LEE	1,432	353	19.78%	1,785
LEON	707	144	16.92%	851
MADISON	7	8	53.33%	15
MANATEE	591	152	20.46%	743
MARION	754	128	14.51%	882
MARTIN	217	278	56.16%	495
MIAMI-DADE	6,665	1,836	21.60%	8,501
MONROE	87	21	19.44%	108
NASSAU	36	32	47.06%	68
OKALOOSA	360	91	20.18%	451
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,377	1,021	23.22%	4,398
OSCEOLA	873	283	24.48%	1,156
PALM BEACH	2,709	1,465	35.10%	4,174
PASCO	1,050	344	24.68%	1,394
PINELLAS	2,196	685	23.78%	2,881
POLK	1,243	414	24.98%	1,657
PUTNAM	58	26	30.95%	84
SANTA ROSA	123	209	62.95%	332
SARASOTA	925	265	22.27%	1,190
SEMINOLE	715	220	23.53%	935
ST. JOHNS	194	134	40.85%	328
ST. LUCIE	651	223	25.51%	874
SUMTER	225	122	35.16%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	60	55	47.83%	115
VOLUSIA	1,108	462	29.43%	1,570
WALTON	57	59	50.86%	116
WASHINGTON	48	11	18.64%	59
