County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,725	13,779	22.40%	61,504
ALACHUA	1,495	251	14.38%	1,746
BAKER	508	117	18.72%	625
BAY	445	96	17.74%	541
BRADFORD	5	5	50.00%	10
BREVARD	1,205	433	26.43%	1,638
BROWARD	4,336	947	17.93%	5,283
CALHOUN	8	2	20.00%	10
CHARLOTTE	453	171	27.40%	624
CITRUS	235	64	21.40%	299
CLAY	505	76	13.08%	581
COLLIER	756	125	14.19%	881
COLUMBIA	98	0	0.00%	98
DESOTO	35	23	39.66%	58
DUVAL	2,860	889	23.71%	3,749
ESCAMBIA	1,042	414	28.43%	1,456
FLAGLER	75	24	24.24%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	582	371	38.93%	953
GULF	9	12	57.14%	21
HARDEE	24	1	4.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	516	219	29.80%	735
HIGHLANDS	240	29	10.78%	269
HILLSBOROUGH	3,334	766	18.68%	4,100
HOLMES	16	4	20.00%	20
INDIAN RIVER	312	137	30.51%	449
JACKSON	38	60	61.22%	98
LAKE	680	225	24.86%	905
LEE	1,580	242	13.28%	1,822
LEON	751	109	12.67%	860
MADISON	16	2	11.11%	18
MANATEE	672	98	12.73%	770
MARION	820	118	12.58%	938
MARTIN	286	142	33.18%	428
MIAMI-DADE	6,711	1,892	21.99%	8,603
MONROE	57	107	65.24%	164
NASSAU	37	31	45.59%	68
OKALOOSA	339	114	25.17%	453
OKEECHOBEE	38	62	62.00%	100
ORANGE	3,425	1,019	22.93%	4,444
OSCEOLA	877	282	24.33%	1,159
PALM BEACH	2,863	1,099	27.74%	3,962
PASCO	1,179	272	18.75%	1,451
PINELLAS	2,336	1,001	30.00%	3,337
POLK	1,312	378	22.37%	1,690
PUTNAM	62	22	26.19%	84
SANTA ROSA	131	125	48.83%	256
SARASOTA	1,140	137	10.73%	1,277
SEMINOLE	705	239	25.32%	944
ST. JOHNS	208	123	37.16%	331
ST. LUCIE	803	93	10.38%	896
SUMTER	268	79	22.77%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	46	29	38.67%	75
VOLUSIA	1,131	393	25.79%	1,524
WALTON	63	52	45.22%	115
WASHINGTON	42	17	28.81%	59
