County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,490	1,591	26.16%	6,081	393	268	40.54%	661
ALACHUA	258	50	16.23%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	47	7	12.96%	54	0	0		0
BRADFORD	0	0		0	0	0		0
BREVARD	123	42	25.45%	165	0	0		0
BROWARD	354	114	24.36%	468	51	30	37.04%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	36	16	30.77%	52	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	43	6	12.24%	49	1	3	75.00%	4
COLLIER	48	37	43.53%	85	0	0		0
COLUMBIA	17	0	0.00%	17	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	337	100	22.88%	437	15	25	62.50%	40
ESCAMBIA	122	19	13.48%	141	5	11	68.75%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	48	14	22.58%	62	0	0		0
HIGHLANDS	21	8	27.59%	29	0	0		0
HILLSBOROUGH	326	92	22.01%	418	22	16	42.11%	38
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	7	23.33%	30	0	0		0
JACKSON	7	4	36.36%	11	0	0		0
LAKE	65	39	37.50%	104	0	0		0
LEE	105	35	25.00%	140	60	26	30.23%	86
LEON	65	7	9.72%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	48	20	29.41%	68	0	0		0
MARION	70	7	9.09%	77	0	0		0
MARTIN	13	12	48.00%	25	0	0		0
MIAMI-DADE	694	219	23.99%	913	72	50	40.98%	122
MONROE	7	6	46.15%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	42	12	22.22%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	272	130	32.34%	402	78	48	38.10%	126
OSCEOLA	78	45	36.59%	123	0	0		0
PALM BEACH	242	156	39.20%	398	13	19	59.38%	32
PASCO	103	26	20.16%	129	0	0		0
PINELLAS	249	82	24.77%	331	30	5	14.29%	35
POLK	121	59	32.78%	180	7	7	50.00%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	12	11	47.83%	23	0	0		0
SARASOTA	77	33	30.00%	110	0	0		0
SEMINOLE	58	15	20.55%	73	0	0		0
ST. JOHNS	19	25	56.82%	44	0	0		0
ST. LUCIE	74	16	17.78%	90	1	5	83.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	145	82	36.12%	227	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
