County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,525	12,932	20.71%	62,457
ALACHUA	1,515	267	14.98%	1,782
BAKER	481	144	23.04%	625
BAY	424	130	23.47%	554
BRADFORD	5	5	50.00%	10
BREVARD	1,243	422	25.35%	1,665
BROWARD	4,394	1,006	18.63%	5,400
CALHOUN	4	6	60.00%	10
CHARLOTTE	462	140	23.26%	602
CITRUS	226	86	27.56%	312
CLAY	476	87	15.45%	563
COLLIER	801	110	12.07%	911
COLUMBIA	98	0	0.00%	98
DESOTO	30	28	48.28%	58
DUVAL	2,852	884	23.66%	3,736
ESCAMBIA	1,100	363	24.81%	1,463
FLAGLER	90	9	9.09%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	652	301	31.58%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	611	143	18.97%	754
HIGHLANDS	255	18	6.59%	273
HILLSBOROUGH	3,563	662	15.67%	4,225
HOLMES	10	10	50.00%	20
INDIAN RIVER	350	118	25.21%	468
JACKSON	46	46	50.00%	92
LAKE	772	192	19.92%	964
LEE	1,593	248	13.47%	1,841
LEON	777	95	10.89%	872
MADISON	10	6	37.50%	16
MANATEE	674	97	12.58%	771
MARION	911	70	7.14%	981
MARTIN	280	165	37.08%	445
MIAMI-DADE	6,781	2,051	23.22%	8,832
MONROE	80	89	52.66%	169
NASSAU	44	24	35.29%	68
OKALOOSA	384	84	17.95%	468
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,520	1,114	24.04%	4,634
OSCEOLA	958	198	17.13%	1,156
PALM BEACH	3,057	991	24.48%	4,048
PASCO	1,234	220	15.13%	1,454
PINELLAS	2,480	676	21.42%	3,156
POLK	1,510	282	15.74%	1,792
PUTNAM	68	16	19.05%	84
SANTA ROSA	145	126	46.49%	271
SARASOTA	1,161	104	8.22%	1,265
SEMINOLE	758	200	20.88%	958
ST. JOHNS	201	131	39.46%	332
ST. LUCIE	759	120	13.65%	879
SUMTER	269	78	22.48%	347
SUWANNEE	0	0		0
TAYLOR	7	5	41.67%	12
UNION	46	29	38.67%	75
VOLUSIA	1,140	391	25.54%	1,531
WALTON	73	41	35.96%	114
WASHINGTON	47	12	20.34%	59
