County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,671	1,399	23.05%	6,070	375	239	38.93%	614
ALACHUA	271	37	12.01%	308	39	8	17.02%	47
BAKER	0	0		0	0	0		0
BAY	48	4	7.69%	52	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	133	42	24.00%	175	0	0		0
BROWARD	369	93	20.13%	462	23	34	59.65%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	3	6.12%	49	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	55	7	11.29%	62	1	3	75.00%	4
COLLIER	55	30	35.29%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	290	149	33.94%	439	20	20	50.00%	40
ESCAMBIA	118	23	16.31%	141	6	10	62.50%	16
FLAGLER	18	0	0.00%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	48	14	22.58%	62	0	0		0
HIGHLANDS	24	6	20.00%	30	0	0		0
HILLSBOROUGH	329	40	10.84%	369	27	11	28.95%	38
HOLMES	0	0		0	0	0		0
INDIAN RIVER	24	6	20.00%	30	0	0		0
JACKSON	7	3	30.00%	10	0	0		0
LAKE	81	23	22.12%	104	0	0		0
LEE	104	35	25.18%	139	68	18	20.93%	86
LEON	61	11	15.28%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	56	7	11.11%	63	0	0		0
MARION	83	10	10.75%	93	0	0		0
MARTIN	13	26	66.67%	39	0	0		0
MIAMI-DADE	748	199	21.01%	947	63	53	45.69%	116
MONROE	11	2	15.38%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	51	4	7.27%	55	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	257	115	30.91%	372	77	35	31.25%	112
OSCEOLA	79	47	37.30%	126	0	6	100.00%	6
PALM BEACH	283	121	29.95%	404	16	17	51.52%	33
PASCO	114	11	8.80%	125	0	0		0
PINELLAS	229	64	21.84%	293	27	8	22.86%	35
POLK	128	80	38.46%	208	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	9	14	60.87%	23	0	0		0
SARASOTA	68	44	39.29%	112	0	0		0
SEMINOLE	70	3	4.11%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	162	62	27.68%	224	1	4	80.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
