County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,660	17,315	28.40%	60,975
ALACHUA	1,435	277	16.18%	1,712
BAKER	518	107	17.12%	625
BAY	421	128	23.32%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,119	511	31.35%	1,630
BROWARD	4,071	1,326	24.57%	5,397
CALHOUN	4	6	60.00%	10
CHARLOTTE	397	224	36.07%	621
CITRUS	208	84	28.77%	292
CLAY	466	101	17.81%	567
COLLIER	711	154	17.80%	865
COLUMBIA	87	4	4.40%	91
DESOTO	42	28	40.00%	70
DUVAL	2,574	1,111	30.15%	3,685
ESCAMBIA	987	473	32.40%	1,460
FLAGLER	87	12	12.12%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	547	406	42.60%	953
GULF	2	19	90.48%	21
HARDEE	24	1	4.00%	25
HENDRY	10	15	60.00%	25
HERNANDO	476	245	33.98%	721
HIGHLANDS	200	68	25.37%	268
HILLSBOROUGH	3,062	1,024	25.06%	4,086
HOLMES	14	6	30.00%	20
INDIAN RIVER	311	150	32.54%	461
JACKSON	53	43	44.79%	96
LAKE	613	292	32.27%	905
LEE	1,437	371	20.52%	1,808
LEON	654	194	22.88%	848
MADISON	5	10	66.67%	15
MANATEE	606	145	19.31%	751
MARION	775	127	14.08%	902
MARTIN	272	162	37.33%	434
MIAMI-DADE	6,086	2,522	29.30%	8,608
MONROE	50	118	70.24%	168
NASSAU	22	44	66.67%	66
OKALOOSA	305	147	32.52%	452
OKEECHOBEE	33	67	67.00%	100
ORANGE	3,096	1,322	29.92%	4,418
OSCEOLA	795	346	30.32%	1,141
PALM BEACH	2,741	1,152	29.59%	3,893
PASCO	1,068	369	25.68%	1,437
PINELLAS	2,057	1,171	36.28%	3,228
POLK	1,191	491	29.19%	1,682
PUTNAM	45	39	46.43%	84
SANTA ROSA	123	218	63.93%	341
SARASOTA	927	67	6.74%	994
SEMINOLE	673	262	28.02%	935
ST. JOHNS	166	166	50.00%	332
ST. LUCIE	679	172	20.21%	851
SUMTER	240	107	30.84%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	45	30	40.00%	75
VOLUSIA	1,029	571	35.69%	1,600
WALTON	51	64	55.65%	115
WASHINGTON	39	20	33.90%	59
