County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,006	13,902	23.21%	59,908
ALACHUA	1,470	254	14.73%	1,724
BAKER	130	495	79.20%	625
BAY	441	127	22.36%	568
BRADFORD	5	5	50.00%	10
BREVARD	1,172	445	27.52%	1,617
BROWARD	4,292	945	18.04%	5,237
CALHOUN	5	5	50.00%	10
CHARLOTTE	461	244	34.61%	705
CITRUS	233	63	21.28%	296
CLAY	473	87	15.54%	560
COLLIER	720	176	19.64%	896
COLUMBIA	101	11	9.82%	112
DESOTO	29	26	47.27%	55
DUVAL	2,833	928	24.67%	3,761
ESCAMBIA	1,094	401	26.82%	1,495
FLAGLER	88	11	11.11%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	9	12	57.14%	21
HARDEE	24	1	4.00%	25
HENDRY	18	11	37.93%	29
HERNANDO	510	211	29.26%	721
HIGHLANDS	214	43	16.73%	257
HILLSBOROUGH	3,308	533	13.88%	3,841
HOLMES	4	16	80.00%	20
INDIAN RIVER	349	147	29.64%	496
JACKSON	50	53	51.46%	103
LAKE	679	220	24.47%	899
LEE	1,503	280	15.70%	1,783
LEON	735	128	14.83%	863
MADISON	8	7	46.67%	15
MANATEE	593	145	19.65%	738
MARION	813	113	12.20%	926
MARTIN	213	282	56.97%	495
MIAMI-DADE	6,763	1,697	20.06%	8,460
MONROE	90	20	18.18%	110
NASSAU	37	31	45.59%	68
OKALOOSA	373	79	17.48%	452
OKEECHOBEE	58	42	42.00%	100
ORANGE	3,434	970	22.03%	4,404
OSCEOLA	859	296	25.63%	1,155
PALM BEACH	2,800	1,408	33.46%	4,208
PASCO	1,107	283	20.36%	1,390
PINELLAS	2,256	626	21.72%	2,882
POLK	1,318	308	18.94%	1,626
PUTNAM	60	20	25.00%	80
SANTA ROSA	129	205	61.38%	334
SARASOTA	981	239	19.59%	1,220
SEMINOLE	719	223	23.67%	942
ST. JOHNS	210	118	35.98%	328
ST. LUCIE	689	185	21.17%	874
SUMTER	237	110	31.70%	347
SUWANNEE	0	0		0
TAYLOR	7	5	41.67%	12
UNION	59	56	48.70%	115
VOLUSIA	1,130	479	29.77%	1,609
WALTON	65	51	43.97%	116
WASHINGTON	46	13	22.03%	59
