County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,480	13,169	21.36%	61,649
ALACHUA	1,542	222	12.59%	1,764
BAKER	516	109	17.44%	625
BAY	442	126	22.18%	568
BRADFORD	5	5	50.00%	10
BREVARD	1,226	390	24.13%	1,616
BROWARD	4,253	994	18.94%	5,247
CALHOUN	7	3	30.00%	10
CHARLOTTE	468	139	22.90%	607
CITRUS	230	81	26.05%	311
CLAY	505	71	12.33%	576
COLLIER	770	132	14.63%	902
COLUMBIA	108	0	0.00%	108
DESOTO	24	34	58.62%	58
DUVAL	2,897	684	19.10%	3,581
ESCAMBIA	1,103	352	24.19%	1,455
FLAGLER	85	14	14.14%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	565	388	40.71%	953
GULF	7	14	66.67%	21
HARDEE	22	3	12.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	547	181	24.86%	728
HIGHLANDS	227	32	12.36%	259
HILLSBOROUGH	3,420	715	17.29%	4,135
HOLMES	13	7	35.00%	20
INDIAN RIVER	338	116	25.55%	454
JACKSON	47	55	53.92%	102
LAKE	745	182	19.63%	927
LEE	1,573	240	13.24%	1,813
LEON	767	95	11.02%	862
MADISON	13	2	13.33%	15
MANATEE	723	92	11.29%	815
MARION	829	98	10.57%	927
MARTIN	311	117	27.34%	428
MIAMI-DADE	6,649	1,982	22.96%	8,631
MONROE	77	92	54.44%	169
NASSAU	53	15	22.06%	68
OKALOOSA	355	99	21.81%	454
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,405	1,045	23.48%	4,450
OSCEOLA	871	285	24.65%	1,156
PALM BEACH	3,021	955	24.02%	3,976
PASCO	1,226	287	18.97%	1,513
PINELLAS	2,388	885	27.04%	3,273
POLK	1,394	292	17.32%	1,686
PUTNAM	66	18	21.43%	84
SANTA ROSA	109	137	55.69%	246
SARASOTA	1,174	117	9.06%	1,291
SEMINOLE	702	238	25.32%	940
ST. JOHNS	200	131	39.58%	331
ST. LUCIE	739	112	13.16%	851
SUMTER	263	84	24.21%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	48	27	36.00%	75
VOLUSIA	1,258	499	28.40%	1,757
WALTON	57	58	50.43%	115
WASHINGTON	38	21	35.59%	59
