County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,454	12,369	19.69%	62,823
ALACHUA	1,561	219	12.30%	1,780
BAKER	477	148	23.68%	625
BAY	497	58	10.45%	555
BRADFORD	5	5	50.00%	10
BREVARD	1,267	396	23.81%	1,663
BROWARD	4,407	1,037	19.05%	5,444
CALHOUN	5	5	50.00%	10
CHARLOTTE	473	137	22.46%	610
CITRUS	223	76	25.42%	299
CLAY	498	45	8.29%	543
COLLIER	830	115	12.17%	945
COLUMBIA	102	0	0.00%	102
DESOTO	31	27	46.55%	58
DUVAL	2,951	697	19.11%	3,648
ESCAMBIA	1,159	334	22.37%	1,493
FLAGLER	96	3	3.03%	99
FRANKLIN	6	9	60.00%	15
GADSDEN	675	278	29.17%	953
GULF	8	13	61.90%	21
HARDEE	25	0	0.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	552	185	25.10%	737
HIGHLANDS	244	25	9.29%	269
HILLSBOROUGH	3,378	737	17.91%	4,115
HOLMES	12	8	40.00%	20
INDIAN RIVER	381	99	20.63%	480
JACKSON	45	46	50.55%	91
LAKE	997	284	22.17%	1,281
LEE	1,626	209	11.39%	1,835
LEON	756	102	11.89%	858
MADISON	13	2	13.33%	15
MANATEE	696	89	11.34%	785
MARION	859	114	11.72%	973
MARTIN	302	130	30.09%	432
MIAMI-DADE	6,788	1,901	21.88%	8,689
MONROE	88	85	49.13%	173
NASSAU	33	43	56.58%	76
OKALOOSA	369	91	19.78%	460
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,709	963	20.61%	4,672
OSCEOLA	964	215	18.24%	1,179
PALM BEACH	3,115	960	23.56%	4,075
PASCO	1,183	283	19.30%	1,466
PINELLAS	2,475	691	21.83%	3,166
POLK	1,460	276	15.90%	1,736
PUTNAM	46	38	45.24%	84
SANTA ROSA	113	86	43.22%	199
SARASOTA	1,179	133	10.14%	1,312
SEMINOLE	812	131	13.89%	943
ST. JOHNS	210	122	36.75%	332
ST. LUCIE	780	77	8.98%	857
SUMTER	527	127	19.42%	654
SUWANNEE	0	0		0
TAYLOR	14	5	26.32%	19
UNION	52	19	26.76%	71
VOLUSIA	1,205	367	23.35%	1,572
WALTON	69	45	39.47%	114
WASHINGTON	46	10	17.86%	56
