County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,230	988	15.89%	6,218	455	224	32.99%	679
ALACHUA	299	9	2.92%	308	43	4	8.51%	47
BAKER	0	0		0	0	0		0
BAY	59	5	7.81%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	156	33	17.46%	189	0	0		0
BROWARD	409	78	16.02%	487	50	34	40.48%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	6	11.54%	52	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	44	6	12.00%	50	4	0	0.00%	4
COLLIER	69	16	18.82%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	357	80	18.31%	437	19	9	32.14%	28
ESCAMBIA	134	17	11.26%	151	6	10	62.50%	16
FLAGLER	20	0	0.00%	20	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	57	6	9.52%	63	0	0		0
HIGHLANDS	29	6	17.14%	35	0	0		0
HILLSBOROUGH	349	45	11.42%	394	20	22	52.38%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	7	20.59%	34	0	0		0
JACKSON	2	5	71.43%	7	0	0		0
LAKE	73	31	29.81%	104	0	0		0
LEE	126	15	10.64%	141	67	19	22.09%	86
LEON	69	3	4.17%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	66	6	8.33%	72	0	0		0
MARION	95	9	8.65%	104	0	0		0
MARTIN	13	9	40.91%	22	0	0		0
MIAMI-DADE	796	135	14.50%	931	72	57	44.19%	129
MONROE	8	5	38.46%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	52	4	7.14%	56	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	310	87	21.91%	397	89	37	29.37%	126
OSCEOLA	104	23	18.11%	127	0	0		0
PALM BEACH	319	85	21.04%	404	17	15	46.88%	32
PASCO	135	8	5.59%	143	0	0		0
PINELLAS	279	68	19.60%	347	46	1	2.13%	47
POLK	145	38	20.77%	183	14	0	0.00%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	15	8	34.78%	23	0	0		0
SARASOTA	80	30	27.27%	110	0	0		0
SEMINOLE	66	7	9.59%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	84	6	6.67%	90	6	0	0.00%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	184	46	20.00%	230	0	5	100.00%	5
WALTON	19	3	13.64%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
