County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,768	1,379	22.43%	6,147	408	205	33.44%	613
ALACHUA	254	54	17.53%	308	33	14	29.79%	47
BAKER	0	0		0	0	0		0
BAY	51	29	36.25%	80	2	2	50.00%	4
BREVARD	109	54	33.13%	163	0	0		0
BROWARD	379	81	17.61%	460	35	22	38.60%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	34	21	38.18%	55	0	0		0
CITRUS	33	6	15.38%	39	0	0		0
CLAY	31	11	26.19%	42	4	2	33.33%	6
COLLIER	48	31	39.24%	79	0	0		0
COLUMBIA	24	1	4.00%	25	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	322	118	26.82%	440	31	9	22.50%	40
ESCAMBIA	104	8	7.14%	112	5	11	68.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	48	13	21.31%	61	0	0		0
HIGHLANDS	20	14	41.18%	34	0	0		0
HILLSBOROUGH	354	64	15.31%	418	22	22	50.00%	44
HOLMES	0	0		0	0	0		0
INDIAN RIVER	15	15	50.00%	30	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	70	10	12.50%	80	0	0		0
LEE	107	37	25.69%	144	63	29	31.52%	92
LEON	48	24	33.33%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	53	37	41.11%	90	0	0		0
MARION	76	32	29.63%	108	0	0		0
MARTIN	14	20	58.82%	34	0	0		0
MIAMI-DADE	725	246	25.33%	971	72	13	15.29%	85
MONROE	6	8	57.14%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	243	68	21.86%	311	78	46	37.10%	124
OSCEOLA	177	17	8.76%	194	0	6	100.00%	6
PALM BEACH	329	78	19.16%	407	22	10	31.25%	32
PASCO	117	20	14.60%	137	0	0		0
PINELLAS	269	59	17.99%	328	36	4	10.00%	40
POLK	122	37	23.27%	159	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	7	10	58.82%	17	0	0		0
SARASOTA	73	28	27.72%	101	0	0		0
SEMINOLE	109	21	16.15%	130	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	4	2	33.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	155	40	20.51%	195	1	4	80.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
