County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,083	14,313	23.31%	61,396
ALACHUA	1,468	270	15.54%	1,738
BAKER	485	140	22.40%	625
BAY	433	124	22.26%	557
BRADFORD	5	5	50.00%	10
BREVARD	1,249	395	24.03%	1,644
BROWARD	4,266	938	18.02%	5,204
CALHOUN	7	3	30.00%	10
CHARLOTTE	474	152	24.28%	626
CITRUS	243	68	21.86%	311
CLAY	477	78	14.05%	555
COLLIER	742	132	15.10%	874
COLUMBIA	95	0	0.00%	95
DESOTO	19	36	65.45%	55
DUVAL	2,857	876	23.47%	3,733
ESCAMBIA	1,060	396	27.20%	1,456
FLAGLER	92	7	7.07%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	600	353	37.04%	953
GULF	4	17	80.95%	21
HARDEE	22	3	12.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	519	218	29.58%	737
HIGHLANDS	220	41	15.71%	261
HILLSBOROUGH	3,324	746	18.33%	4,070
HOLMES	15	5	25.00%	20
INDIAN RIVER	313	146	31.81%	459
JACKSON	42	48	53.33%	90
LAKE	726	186	20.39%	912
LEE	1,589	263	14.20%	1,852
LEON	785	97	11.00%	882
MADISON	6	9	60.00%	15
MANATEE	675	115	14.56%	790
MARION	792	128	13.91%	920
MARTIN	255	175	40.70%	430
MIAMI-DADE	6,343	2,324	26.81%	8,667
MONROE	76	106	58.24%	182
NASSAU	35	33	48.53%	68
OKALOOSA	368	83	18.40%	451
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,378	1,073	24.11%	4,451
OSCEOLA	895	271	23.24%	1,166
PALM BEACH	2,813	1,226	30.35%	4,039
PASCO	1,204	174	12.63%	1,378
PINELLAS	2,288	854	27.18%	3,142
POLK	1,328	363	21.47%	1,691
PUTNAM	66	18	21.43%	84
SANTA ROSA	97	244	71.55%	341
SARASOTA	1,047	161	13.33%	1,208
SEMINOLE	761	174	18.61%	935
ST. JOHNS	198	133	40.18%	331
ST. LUCIE	743	135	15.38%	878
SUMTER	255	92	26.51%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	55	27	32.93%	82
VOLUSIA	1,090	504	31.62%	1,594
WALTON	65	52	44.44%	117
WASHINGTON	42	17	28.81%	59
