County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,594	12,848	21.26%	60,442
ALACHUA	1,335	314	19.04%	1,649
BAKER	513	116	18.44%	629
BAY	417	122	22.63%	539
BREVARD	1,234	386	23.83%	1,620
BROWARD	4,485	943	17.37%	5,428
CALHOUN	5	5	50.00%	10
CHARLOTTE	467	234	33.38%	701
CITRUS	238	94	28.31%	332
CLAY	457	87	15.99%	544
COLLIER	747	140	15.78%	887
COLUMBIA	122	14	10.29%	136
DESOTO	26	29	52.73%	55
DUVAL	2,985	886	22.89%	3,871
ESCAMBIA	1,039	305	22.69%	1,344
FLAGLER	95	4	4.04%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	6	15	71.43%	21
HARDEE	24	1	4.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	553	198	26.36%	751
HIGHLANDS	210	66	23.91%	276
HILLSBOROUGH	3,347	617	15.57%	3,964
HOLMES	13	7	35.00%	20
INDIAN RIVER	326	146	30.93%	472
JACKSON	63	34	35.05%	97
LAKE	747	185	19.85%	932
LEE	1,519	236	13.45%	1,755
LEON	737	160	17.84%	897
MADISON	8	7	46.67%	15
MANATEE	675	124	15.52%	799
MARION	807	94	10.43%	901
MARTIN	276	212	43.44%	488
MIAMI-DADE	6,753	1,636	19.50%	8,389
MONROE	92	26	22.03%	118
NASSAU	47	39	45.35%	86
OKALOOSA	375	78	17.22%	453
OKEECHOBEE	57	43	43.00%	100
ORANGE	3,452	969	21.92%	4,421
OSCEOLA	838	321	27.70%	1,159
PALM BEACH	3,052	1,138	27.16%	4,190
PASCO	1,178	223	15.92%	1,401
PINELLAS	2,465	558	18.46%	3,023
POLK	1,391	277	16.61%	1,668
PUTNAM	74	10	11.90%	84
SANTA ROSA	153	196	56.16%	349
SARASOTA	1,057	243	18.69%	1,300
SEMINOLE	758	155	16.98%	913
ST. JOHNS	180	151	45.62%	331
ST. LUCIE	773	140	15.33%	913
SUMTER	221	126	36.31%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	55	71	56.35%	126
VOLUSIA	1,017	561	35.55%	1,578
WALTON	70	47	40.17%	117
WASHINGTON	46	13	22.03%	59
