County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,127	15,991	26.16%	61,118
ALACHUA	1,399	383	21.49%	1,782
BAKER	498	127	20.32%	625
BAY	430	125	22.52%	555
BRADFORD	5	5	50.00%	10
BREVARD	1,052	556	34.58%	1,608
BROWARD	4,014	1,199	23.00%	5,213
CALHOUN	8	2	20.00%	10
CHARLOTTE	456	147	24.38%	603
CITRUS	212	95	30.94%	307
CLAY	487	111	18.56%	598
COLLIER	666	147	18.08%	813
COLUMBIA	98	0	0.00%	98
DESOTO	28	30	51.72%	58
DUVAL	2,672	1,025	27.73%	3,697
ESCAMBIA	977	449	31.49%	1,426
FLAGLER	81	18	18.18%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	583	370	38.82%	953
GULF	5	16	76.19%	21
HARDEE	23	2	8.00%	25
HENDRY	14	14	50.00%	28
HERNANDO	525	200	27.59%	725
HIGHLANDS	207	49	19.14%	256
HILLSBOROUGH	3,217	979	23.33%	4,196
HOLMES	11	9	45.00%	20
INDIAN RIVER	298	161	35.08%	459
JACKSON	43	53	55.21%	96
LAKE	709	224	24.01%	933
LEE	1,506	312	17.16%	1,818
LEON	695	159	18.62%	854
MADISON	17	0	0.00%	17
MANATEE	627	146	18.89%	773
MARION	810	106	11.57%	916
MARTIN	252	178	41.40%	430
MIAMI-DADE	6,419	2,312	26.48%	8,731
MONROE	65	103	61.31%	168
NASSAU	45	23	33.82%	68
OKALOOSA	351	102	22.52%	453
OKEECHOBEE	46	54	54.00%	100
ORANGE	3,064	1,338	30.40%	4,402
OSCEOLA	824	319	27.91%	1,143
PALM BEACH	2,809	1,210	30.11%	4,019
PASCO	1,156	278	19.39%	1,434
PINELLAS	2,262	812	26.42%	3,074
POLK	1,279	401	23.87%	1,680
PUTNAM	55	29	34.52%	84
SANTA ROSA	135	127	48.47%	262
SARASOTA	1,011	205	16.86%	1,216
SEMINOLE	702	254	26.57%	956
ST. JOHNS	186	145	43.81%	331
ST. LUCIE	680	172	20.19%	852
SUMTER	241	106	30.55%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	48	27	36.00%	75
VOLUSIA	1,028	472	31.47%	1,500
WALTON	49	66	57.39%	115
WASHINGTON	44	15	25.42%	59
