County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,155	16,479	27.18%	60,634
ALACHUA	1,385	309	18.24%	1,694
BAKER	491	134	21.44%	625
BAY	424	115	21.34%	539
BRADFORD	5	5	50.00%	10
BREVARD	1,146	480	29.52%	1,626
BROWARD	3,960	1,150	22.50%	5,110
CALHOUN	6	4	40.00%	10
CHARLOTTE	411	197	32.40%	608
CITRUS	199	98	33.00%	297
CLAY	459	77	14.37%	536
COLLIER	703	169	19.38%	872
COLUMBIA	103	0	0.00%	103
DESOTO	26	29	52.73%	55
DUVAL	2,570	982	27.65%	3,552
ESCAMBIA	1,021	435	29.88%	1,456
FLAGLER	91	8	8.08%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	572	381	39.98%	953
GULF	8	13	61.90%	21
HARDEE	22	3	12.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	473	265	35.91%	738
HIGHLANDS	188	66	25.98%	254
HILLSBOROUGH	3,143	960	23.40%	4,103
HOLMES	12	8	40.00%	20
INDIAN RIVER	304	143	31.99%	447
JACKSON	43	47	52.22%	90
LAKE	645	270	29.51%	915
LEE	1,474	385	20.71%	1,859
LEON	770	133	14.73%	903
MADISON	10	5	33.33%	15
MANATEE	619	127	17.02%	746
MARION	747	123	14.14%	870
MARTIN	236	194	45.12%	430
MIAMI-DADE	6,026	2,637	30.44%	8,663
MONROE	59	98	62.42%	157
NASSAU	23	45	66.18%	68
OKALOOSA	363	90	19.87%	453
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,324	1,067	24.30%	4,391
OSCEOLA	836	320	27.68%	1,156
PALM BEACH	2,631	1,282	32.76%	3,913
PASCO	1,060	301	22.12%	1,361
PINELLAS	2,197	993	31.13%	3,190
POLK	1,198	482	28.69%	1,680
PUTNAM	65	19	22.62%	84
SANTA ROSA	134	213	61.38%	347
SARASOTA	982	172	14.90%	1,154
SEMINOLE	711	226	24.12%	937
ST. JOHNS	152	178	53.94%	330
ST. LUCIE	651	224	25.60%	875
SUMTER	234	113	32.56%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	48	29	37.66%	77
VOLUSIA	1,010	528	34.33%	1,538
WALTON	71	46	39.32%	117
WASHINGTON	45	14	23.73%	59
