County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,606	17,051	28.11%	60,657
ALACHUA	1,413	286	16.83%	1,699
BAKER	500	125	20.00%	625
BAY	431	116	21.21%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,197	419	25.93%	1,616
BROWARD	3,919	1,181	23.16%	5,100
CALHOUN	4	6	60.00%	10
CHARLOTTE	381	218	36.39%	599
CITRUS	201	97	32.55%	298
CLAY	461	83	15.26%	544
COLLIER	673	180	21.10%	853
COLUMBIA	86	5	5.49%	91
DESOTO	16	39	70.91%	55
DUVAL	2,503	1,067	29.89%	3,570
ESCAMBIA	969	497	33.90%	1,466
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	565	388	40.71%	953
GULF	4	17	80.95%	21
HARDEE	18	7	28.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	489	266	35.23%	755
HIGHLANDS	190	65	25.49%	255
HILLSBOROUGH	3,090	895	22.46%	3,985
HOLMES	7	13	65.00%	20
INDIAN RIVER	278	170	37.95%	448
JACKSON	33	65	66.33%	98
LAKE	650	249	27.70%	899
LEE	1,423	389	21.47%	1,812
LEON	750	210	21.88%	960
MADISON	8	7	46.67%	15
MANATEE	633	141	18.22%	774
MARION	735	167	18.51%	902
MARTIN	288	142	33.02%	430
MIAMI-DADE	6,002	2,651	30.64%	8,653
MONROE	76	81	51.59%	157
NASSAU	40	28	41.18%	68
OKALOOSA	373	78	17.29%	451
OKEECHOBEE	32	68	68.00%	100
ORANGE	3,253	1,195	26.87%	4,448
OSCEOLA	823	321	28.06%	1,144
PALM BEACH	2,675	1,334	33.28%	4,009
PASCO	1,034	278	21.19%	1,312
PINELLAS	2,122	1,038	32.85%	3,160
POLK	1,182	500	29.73%	1,682
PUTNAM	57	27	32.14%	84
SANTA ROSA	102	239	70.09%	341
SARASOTA	935	170	15.38%	1,105
SEMINOLE	657	288	30.48%	945
ST. JOHNS	171	160	48.34%	331
ST. LUCIE	655	222	25.31%	877
SUMTER	226	121	34.87%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	51	28	35.44%	79
VOLUSIA	1,023	575	35.98%	1,598
WALTON	52	65	55.56%	117
WASHINGTON	42	17	28.81%	59
