County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,103	20,393	30.67%	66,496
ALACHUA	1,453	283	16.30%	1,736
BAKER	132	493	78.88%	625
BAY	428	122	22.18%	550
BRADFORD	5	5	50.00%	10
BREVARD	1,099	523	32.24%	1,622
BROWARD	4,375	963	18.04%	5,338
CALHOUN	2	8	80.00%	10
CHARLOTTE	466	228	32.85%	694
CITRUS	239	57	19.26%	296
CLAY	481	72	13.02%	553
COLLIER	676	184	21.40%	860
COLUMBIA	101	16	13.68%	117
DESOTO	34	21	38.18%	55
DUVAL	2,763	1,005	26.67%	3,768
ESCAMBIA	1,085	388	26.34%	1,473
FLAGLER	89	10	10.10%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	10	11	52.38%	21
HARDEE	24	1	4.00%	25
HENDRY	19	10	34.48%	29
HERNANDO	520	202	27.98%	722
HIGHLANDS	219	48	17.98%	267
HILLSBOROUGH	3,275	584	15.13%	3,859
HOLMES	7	13	65.00%	20
INDIAN RIVER	321	6,645	95.39%	6,966
JACKSON	57	44	43.56%	101
LAKE	657	234	26.26%	891
LEE	1,462	304	17.21%	1,766
LEON	728	135	15.64%	863
MADISON	5	10	66.67%	15
MANATEE	678	93	12.06%	771
MARION	786	120	13.25%	906
MARTIN	243	247	50.41%	490
MIAMI-DADE	6,822	1,664	19.61%	8,486
MONROE	66	21	24.14%	87
NASSAU	37	31	45.59%	68
OKALOOSA	370	82	18.14%	452
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,448	951	21.62%	4,399
OSCEOLA	868	285	24.72%	1,153
PALM BEACH	2,964	1,241	29.51%	4,205
PASCO	1,120	276	19.77%	1,396
PINELLAS	2,351	559	19.21%	2,910
POLK	1,269	385	23.28%	1,654
PUTNAM	53	31	36.90%	84
SANTA ROSA	133	219	62.22%	352
SARASOTA	1,006	213	17.47%	1,219
SEMINOLE	721	215	22.97%	936
ST. JOHNS	184	145	44.07%	329
ST. LUCIE	709	181	20.34%	890
SUMTER	225	122	35.16%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	55	65	54.17%	120
VOLUSIA	1,093	495	31.17%	1,588
WALTON	60	57	48.72%	117
WASHINGTON	50	9	15.25%	59
