County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,234	15,694	25.76%	60,928
ALACHUA	1,407	300	17.57%	1,707
BAKER	491	134	21.44%	625
BAY	425	114	21.15%	539
BRADFORD	5	5	50.00%	10
BREVARD	1,179	457	27.93%	1,636
BROWARD	4,063	1,052	20.57%	5,115
CALHOUN	7	3	30.00%	10
CHARLOTTE	411	198	32.51%	609
CITRUS	219	118	35.01%	337
CLAY	477	92	16.17%	569
COLLIER	726	134	15.58%	860
COLUMBIA	97	0	0.00%	97
DESOTO	31	22	41.51%	53
DUVAL	2,705	1,060	28.15%	3,765
ESCAMBIA	1,063	395	27.09%	1,458
FLAGLER	95	4	4.04%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	572	381	39.98%	953
GULF	8	13	61.90%	21
HARDEE	21	4	16.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	498	240	32.52%	738
HIGHLANDS	196	65	24.90%	261
HILLSBOROUGH	3,148	798	20.22%	3,946
HOLMES	12	8	40.00%	20
INDIAN RIVER	307	150	32.82%	457
JACKSON	45	41	47.67%	86
LAKE	681	212	23.74%	893
LEE	1,450	356	19.71%	1,806
LEON	785	121	13.36%	906
MADISON	10	5	33.33%	15
MANATEE	638	121	15.94%	759
MARION	768	140	15.42%	908
MARTIN	243	188	43.62%	431
MIAMI-DADE	6,241	2,480	28.44%	8,721
MONROE	67	90	57.32%	157
NASSAU	28	40	58.82%	68
OKALOOSA	368	88	19.30%	456
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,388	1,007	22.91%	4,395
OSCEOLA	852	312	26.80%	1,164
PALM BEACH	2,707	1,226	31.17%	3,933
PASCO	1,048	310	22.83%	1,358
PINELLAS	2,202	993	31.08%	3,195
POLK	1,250	430	25.60%	1,680
PUTNAM	70	14	16.67%	84
SANTA ROSA	130	218	62.64%	348
SARASOTA	1,062	172	13.94%	1,234
SEMINOLE	683	256	27.26%	939
ST. JOHNS	180	150	45.45%	330
ST. LUCIE	688	187	21.37%	875
SUMTER	239	108	31.12%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	50	27	35.06%	77
VOLUSIA	1,019	502	33.00%	1,521
WALTON	69	48	41.03%	117
WASHINGTON	46	13	22.03%	59
