County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,218	13,741	22.92%	59,959
ALACHUA	1,310	339	20.56%	1,649
BAKER	517	105	16.88%	622
BAY	396	137	25.70%	533
BREVARD	1,189	366	23.54%	1,555
BROWARD	4,396	1,028	18.95%	5,424
CALHOUN	6	4	40.00%	10
CHARLOTTE	453	249	35.47%	702
CITRUS	211	106	33.44%	317
CLAY	457	99	17.81%	556
COLLIER	745	129	14.76%	874
COLUMBIA	124	15	10.79%	139
DESOTO	31	24	43.64%	55
DUVAL	2,833	978	25.66%	3,811
ESCAMBIA	1,024	320	23.81%	1,344
FLAGLER	94	5	5.05%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	5	19	79.17%	24
HARDEE	22	3	12.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	528	230	30.34%	758
HIGHLANDS	209	66	24.00%	275
HILLSBOROUGH	3,263	742	18.53%	4,005
HOLMES	12	8	40.00%	20
INDIAN RIVER	297	166	35.85%	463
JACKSON	57	33	36.67%	90
LAKE	712	202	22.10%	914
LEE	1,484	277	15.73%	1,761
LEON	704	193	21.52%	897
MADISON	8	7	46.67%	15
MANATEE	677	139	17.03%	816
MARION	782	114	12.72%	896
MARTIN	262	228	46.53%	490
MIAMI-DADE	6,658	1,707	20.41%	8,365
MONROE	86	32	27.12%	118
NASSAU	46	41	47.13%	87
OKALOOSA	376	80	17.54%	456
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,306	1,116	25.24%	4,422
OSCEOLA	837	208	19.90%	1,045
PALM BEACH	2,915	1,258	30.15%	4,173
PASCO	1,139	251	18.06%	1,390
PINELLAS	2,460	473	16.13%	2,933
POLK	1,315	333	20.21%	1,648
PUTNAM	65	19	22.62%	84
SANTA ROSA	148	199	57.35%	347
SARASOTA	963	281	22.59%	1,244
SEMINOLE	757	174	18.69%	931
ST. JOHNS	178	152	46.06%	330
ST. LUCIE	721	173	19.35%	894
SUMTER	196	151	43.52%	347
SUWANNEE	0	0		0
TAYLOR	2	14	87.50%	16
UNION	58	68	53.97%	126
VOLUSIA	1,013	533	34.48%	1,546
WALTON	53	62	53.91%	115
WASHINGTON	44	15	25.42%	59
