County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,078	12,772	20.65%	61,850
ALACHUA	1,512	245	13.94%	1,757
BAKER	512	113	18.08%	625
BAY	467	104	18.21%	571
BRADFORD	5	5	50.00%	10
BREVARD	1,235	406	24.74%	1,641
BROWARD	4,342	957	18.06%	5,299
CALHOUN	9	1	10.00%	10
CHARLOTTE	478	143	23.03%	621
CITRUS	234	72	23.53%	306
CLAY	494	86	14.83%	580
COLLIER	765	130	14.53%	895
COLUMBIA	98	0	0.00%	98
DESOTO	37	21	36.21%	58
DUVAL	2,912	841	22.41%	3,753
ESCAMBIA	1,092	364	25.00%	1,456
FLAGLER	76	23	23.23%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	569	384	40.29%	953
GULF	9	12	57.14%	21
HARDEE	23	3	11.54%	26
HENDRY	14	15	51.72%	29
HERNANDO	541	188	25.79%	729
HIGHLANDS	225	35	13.46%	260
HILLSBOROUGH	3,479	704	16.83%	4,183
HOLMES	11	9	45.00%	20
INDIAN RIVER	345	107	23.67%	452
JACKSON	53	45	45.92%	98
LAKE	780	167	17.63%	947
LEE	1,597	225	12.35%	1,822
LEON	800	98	10.91%	898
MADISON	13	2	13.33%	15
MANATEE	719	70	8.87%	789
MARION	836	89	9.62%	925
MARTIN	292	136	31.78%	428
MIAMI-DADE	6,905	1,790	20.59%	8,695
MONROE	79	90	53.25%	169
NASSAU	39	29	42.65%	68
OKALOOSA	371	81	17.92%	452
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,421	1,041	23.33%	4,462
OSCEOLA	917	247	21.22%	1,164
PALM BEACH	2,976	1,011	25.36%	3,987
PASCO	1,164	267	18.66%	1,431
PINELLAS	2,423	845	25.86%	3,268
POLK	1,443	261	15.32%	1,704
PUTNAM	68	16	19.05%	84
SANTA ROSA	130	121	48.21%	251
SARASOTA	1,179	113	8.75%	1,292
SEMINOLE	733	227	23.65%	960
ST. JOHNS	213	118	35.65%	331
ST. LUCIE	793	91	10.29%	884
SUMTER	260	97	27.17%	357
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	53	22	29.33%	75
VOLUSIA	1,176	365	23.69%	1,541
WALTON	70	45	39.13%	115
WASHINGTON	40	19	32.20%	59
