County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,844	1,252	20.54%	6,096	453	207	31.36%	660
ALACHUA	279	29	9.42%	308	46	1	2.13%	47
BAKER	0	0		0	0	0		0
BAY	48	16	25.00%	64	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	128	41	24.26%	169	0	0		0
BROWARD	378	88	18.88%	466	56	16	22.22%	72
CALHOUN	0	0		0	0	0		0
CHARLOTTE	41	11	21.15%	52	0	0		0
CITRUS	35	4	10.26%	39	0	0		0
CLAY	25	25	50.00%	50	2	2	50.00%	4
COLLIER	67	18	21.18%	85	0	0		0
COLUMBIA	10	0	0.00%	10	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	348	89	20.37%	437	26	2	7.14%	28
ESCAMBIA	106	45	29.80%	151	7	9	56.25%	16
FLAGLER	17	1	5.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	44	21	32.31%	65	0	0		0
HIGHLANDS	16	8	33.33%	24	0	0		0
HILLSBOROUGH	320	73	18.58%	393	21	22	51.16%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	28	4	12.50%	32	0	0		0
JACKSON	3	4	57.14%	7	0	0		0
LAKE	65	39	37.50%	104	0	0		0
LEE	131	16	10.88%	147	70	16	18.60%	86
LEON	58	14	19.44%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	61	8	11.59%	69	0	0		0
MARION	85	12	12.37%	97	0	0		0
MARTIN	17	4	19.05%	21	0	0		0
MIAMI-DADE	740	165	18.23%	905	59	60	50.42%	119
MONROE	8	5	38.46%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	56	0	0.00%	56	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	304	90	22.84%	394	87	39	30.95%	126
OSCEOLA	95	31	24.60%	126	0	0		0
PALM BEACH	289	124	30.02%	413	16	21	56.76%	37
PASCO	124	18	12.68%	142	0	0		0
PINELLAS	261	77	22.78%	338	41	3	6.82%	44
POLK	141	42	22.95%	183	13	1	7.14%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	8	9	52.94%	17	0	0		0
SARASOTA	76	37	32.74%	113	0	0		0
SEMINOLE	63	10	13.70%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	81	9	10.00%	90	5	1	16.67%	6
SUMTER	28	12	30.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	188	17	8.29%	205	0	5	100.00%	5
WALTON	17	5	22.73%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
