County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,323	11,788	18.98%	62,111
ALACHUA	1,623	173	9.63%	1,796
BAKER	492	133	21.28%	625
BAY	492	76	13.38%	568
BRADFORD	5	5	50.00%	10
BREVARD	1,287	367	22.19%	1,654
BROWARD	4,475	925	17.13%	5,400
CALHOUN	8	2	20.00%	10
CHARLOTTE	424	174	29.10%	598
CITRUS	238	56	19.05%	294
CLAY	486	75	13.37%	561
COLLIER	808	92	10.22%	900
COLUMBIA	89	2	2.20%	91
DESOTO	31	26	45.61%	57
DUVAL	2,978	796	21.09%	3,774
ESCAMBIA	1,174	309	20.84%	1,483
FLAGLER	91	8	8.08%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	620	333	34.94%	953
GULF	10	11	52.38%	21
HARDEE	25	0	0.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	591	142	19.37%	733
HIGHLANDS	278	9	3.14%	287
HILLSBOROUGH	3,445	566	14.11%	4,011
HOLMES	18	2	10.00%	20
INDIAN RIVER	356	123	25.68%	479
JACKSON	56	35	38.46%	91
LAKE	754	172	18.57%	926
LEE	1,633	208	11.30%	1,841
LEON	783	100	11.33%	883
MADISON	6	9	60.00%	15
MANATEE	716	92	11.39%	808
MARION	908	75	7.63%	983
MARTIN	318	109	25.53%	427
MIAMI-DADE	6,893	1,790	20.61%	8,683
MONROE	84	87	50.88%	171
NASSAU	36	32	47.06%	68
OKALOOSA	396	65	14.10%	461
OKEECHOBEE	61	39	39.00%	100
ORANGE	3,556	1,079	23.28%	4,635
OSCEOLA	994	165	14.24%	1,159
PALM BEACH	3,106	937	23.18%	4,043
PASCO	1,197	249	17.22%	1,446
PINELLAS	2,486	700	21.97%	3,186
POLK	1,465	274	15.76%	1,739
PUTNAM	72	12	14.29%	84
SANTA ROSA	156	118	43.07%	274
SARASOTA	1,198	109	8.34%	1,307
SEMINOLE	750	188	20.04%	938
ST. JOHNS	232	100	30.12%	332
ST. LUCIE	795	87	9.86%	882
SUMTER	264	83	23.92%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	44	31	41.33%	75
VOLUSIA	1,201	328	21.45%	1,529
WALTON	61	53	46.49%	114
WASHINGTON	45	14	23.73%	59
