County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,403	14,701	24.06%	61,104
ALACHUA	1,488	213	12.52%	1,701
BAKER	480	145	23.20%	625
BAY	452	90	16.61%	542
BRADFORD	5	5	50.00%	10
BREVARD	1,220	412	25.25%	1,632
BROWARD	4,274	933	17.92%	5,207
CALHOUN	6	4	40.00%	10
CHARLOTTE	437	190	30.30%	627
CITRUS	237	67	22.04%	304
CLAY	499	71	12.46%	570
COLLIER	709	162	18.60%	871
COLUMBIA	95	0	0.00%	95
DESOTO	23	28	54.90%	51
DUVAL	2,773	937	25.26%	3,710
ESCAMBIA	1,072	381	26.22%	1,453
FLAGLER	82	17	17.17%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	603	350	36.73%	953
GULF	7	14	66.67%	21
HARDEE	22	3	12.00%	25
HENDRY	16	17	51.52%	33
HERNANDO	500	225	31.03%	725
HIGHLANDS	187	69	26.95%	256
HILLSBOROUGH	3,183	753	19.13%	3,936
HOLMES	18	2	10.00%	20
INDIAN RIVER	337	120	26.26%	457
JACKSON	39	50	56.18%	89
LAKE	704	206	22.64%	910
LEE	1,470	333	18.47%	1,803
LEON	741	128	14.73%	869
MADISON	6	9	60.00%	15
MANATEE	670	107	13.77%	777
MARION	776	117	13.10%	893
MARTIN	256	174	40.47%	430
MIAMI-DADE	6,244	2,416	27.90%	8,660
MONROE	83	99	54.40%	182
NASSAU	42	26	38.24%	68
OKALOOSA	379	76	16.70%	455
OKEECHOBEE	43	57	57.00%	100
ORANGE	3,482	987	22.09%	4,469
OSCEOLA	886	286	24.40%	1,172
PALM BEACH	2,786	1,270	31.31%	4,056
PASCO	1,123	251	18.27%	1,374
PINELLAS	2,321	762	24.72%	3,083
POLK	1,267	416	24.72%	1,683
PUTNAM	58	26	30.95%	84
SANTA ROSA	116	226	66.08%	342
SARASOTA	1,048	228	17.87%	1,276
SEMINOLE	709	231	24.57%	940
ST. JOHNS	184	147	44.41%	331
ST. LUCIE	723	152	17.37%	875
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	57	28	32.94%	85
VOLUSIA	1,112	488	30.50%	1,600
WALTON	58	59	50.43%	117
WASHINGTON	44	15	25.42%	59
