County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,954	1,192	19.39%	6,146	421	245	36.79%	666
ALACHUA	273	35	11.36%	308	38	9	19.15%	47
BAKER	0	0		0	0	0		0
BAY	55	9	14.06%	64	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	122	46	27.38%	168	0	0		0
BROWARD	373	93	19.96%	466	50	38	43.18%	88
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	5	9.80%	51	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	44	6	12.00%	50	2	2	50.00%	4
COLLIER	64	21	24.71%	85	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	363	71	16.36%	434	22	18	45.00%	40
ESCAMBIA	133	8	5.67%	141	4	12	75.00%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	47	15	24.19%	62	0	0		0
HIGHLANDS	26	5	16.13%	31	0	0		0
HILLSBOROUGH	342	53	13.42%	395	28	13	31.71%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	24	6	20.00%	30	0	0		0
JACKSON	7	3	30.00%	10	0	0		0
LAKE	84	20	19.23%	104	0	0		0
LEE	114	25	17.99%	139	69	17	19.77%	86
LEON	71	1	1.39%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	59	9	13.24%	68	0	0		0
MARION	86	4	4.44%	90	0	0		0
MARTIN	13	8	38.10%	21	0	0		0
MIAMI-DADE	775	179	18.76%	954	65	50	43.48%	115
MONROE	7	6	46.15%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	271	135	33.25%	406	80	46	36.51%	126
OSCEOLA	91	32	26.02%	123	0	0		0
PALM BEACH	289	108	27.20%	397	14	18	56.25%	32
PASCO	144	9	5.88%	153	0	0		0
PINELLAS	265	66	19.94%	331	33	5	13.16%	38
POLK	143	37	20.56%	180	11	3	21.43%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	14	9	39.13%	23	0	0		0
SARASOTA	93	20	17.70%	113	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	78	15	16.13%	93	2	4	66.67%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	160	69	30.13%	229	0	0		0
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
