County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,976	15,483	25.19%	61,459
ALACHUA	1,396	320	18.65%	1,716
BAKER	499	126	20.16%	625
BAY	448	102	18.55%	550
BRADFORD	5	5	50.00%	10
BREVARD	1,219	434	26.26%	1,653
BROWARD	4,150	1,071	20.51%	5,221
CALHOUN	3	7	70.00%	10
CHARLOTTE	420	203	32.58%	623
CITRUS	231	80	25.72%	311
CLAY	479	79	14.16%	558
COLLIER	667	151	18.46%	818
COLUMBIA	106	0	0.00%	106
DESOTO	20	35	63.64%	55
DUVAL	2,798	988	26.10%	3,786
ESCAMBIA	1,058	403	27.58%	1,461
FLAGLER	91	8	8.08%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	565	388	40.71%	953
GULF	4	17	80.95%	21
HARDEE	20	5	20.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	513	234	31.33%	747
HIGHLANDS	207	51	19.77%	258
HILLSBOROUGH	3,228	794	19.74%	4,022
HOLMES	7	13	65.00%	20
INDIAN RIVER	317	130	29.08%	447
JACKSON	30	61	67.03%	91
LAKE	676	234	25.71%	910
LEE	1,448	351	19.51%	1,799
LEON	759	152	16.68%	911
MADISON	11	4	26.67%	15
MANATEE	679	96	12.39%	775
MARION	796	123	13.38%	919
MARTIN	245	185	43.02%	430
MIAMI-DADE	6,289	2,431	27.88%	8,720
MONROE	67	90	57.32%	157
NASSAU	39	29	42.65%	68
OKALOOSA	392	61	13.47%	453
OKEECHOBEE	42	58	58.00%	100
ORANGE	3,353	1,079	24.35%	4,432
OSCEOLA	878	301	25.53%	1,179
PALM BEACH	2,803	1,264	31.08%	4,067
PASCO	1,092	236	17.77%	1,328
PINELLAS	2,272	867	27.62%	3,139
POLK	1,325	370	21.83%	1,695
PUTNAM	59	25	29.76%	84
SANTA ROSA	107	231	68.34%	338
SARASOTA	1,121	220	16.41%	1,341
SEMINOLE	683	255	27.19%	938
ST. JOHNS	187	144	43.50%	331
ST. LUCIE	701	176	20.07%	877
SUMTER	239	108	31.12%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	53	28	34.57%	81
VOLUSIA	1,080	527	32.79%	1,607
WALTON	46	71	60.68%	117
WASHINGTON	40	19	32.20%	59
