County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,560	14,317	23.52%	60,877
ALACHUA	1,449	269	15.66%	1,718
BAKER	484	141	22.56%	625
BAY	456	103	18.43%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,219	384	23.96%	1,603
BROWARD	4,178	993	19.20%	5,171
CALHOUN	8	2	20.00%	10
CHARLOTTE	462	243	34.47%	705
CITRUS	240	88	26.83%	328
CLAY	463	88	15.97%	551
COLLIER	680	157	18.76%	837
COLUMBIA	102	6	5.56%	108
DESOTO	24	31	56.36%	55
DUVAL	2,813	880	23.83%	3,693
ESCAMBIA	1,049	439	29.50%	1,488
FLAGLER	74	25	25.25%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	766	187	19.62%	953
GULF	3	18	85.71%	21
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	500	226	31.13%	726
HIGHLANDS	230	30	11.54%	260
HILLSBOROUGH	3,220	602	15.75%	3,822
HOLMES	10	10	50.00%	20
INDIAN RIVER	303	169	35.81%	472
JACKSON	37	67	64.42%	104
LAKE	722	172	19.24%	894
LEE	1,441	435	23.19%	1,876
LEON	747	117	13.54%	864
MADISON	5	10	66.67%	15
MANATEE	661	109	14.16%	770
MARION	818	132	13.89%	950
MARTIN	245	245	50.00%	490
MIAMI-DADE	6,613	1,981	23.05%	8,594
MONROE	82	31	27.43%	113
NASSAU	33	35	51.47%	68
OKALOOSA	340	110	24.44%	450
OKEECHOBEE	40	60	60.00%	100
ORANGE	3,447	910	20.89%	4,357
OSCEOLA	823	325	28.31%	1,148
PALM BEACH	2,743	1,378	33.44%	4,121
PASCO	1,079	310	22.32%	1,389
PINELLAS	2,263	709	23.86%	2,972
POLK	1,328	312	19.02%	1,640
PUTNAM	56	28	33.33%	84
SANTA ROSA	153	195	56.03%	348
SARASOTA	1,029	221	17.68%	1,250
SEMINOLE	689	243	26.07%	932
ST. JOHNS	196	134	40.61%	330
ST. LUCIE	655	218	24.97%	873
SUMTER	230	117	33.72%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	66	61	48.03%	127
VOLUSIA	1,134	446	28.23%	1,580
WALTON	71	46	39.32%	117
WASHINGTON	37	22	37.29%	59
