County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,856	1,256	20.55%	6,112	417	263	38.68%	680
ALACHUA	265	43	13.96%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	56	6	9.68%	62	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	129	41	24.12%	170	0	0		0
BROWARD	346	106	23.45%	452	47	37	44.05%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	47	4	7.84%	51	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	41	9	18.00%	50	2	2	50.00%	4
COLLIER	61	24	28.24%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	360	77	17.62%	437	19	20	51.28%	39
ESCAMBIA	124	17	12.06%	141	6	10	62.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	48	14	22.58%	62	0	0		0
HIGHLANDS	20	8	28.57%	28	0	0		0
HILLSBOROUGH	336	55	14.07%	391	24	18	42.86%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	9	30.00%	30	0	0		0
JACKSON	7	4	36.36%	11	0	0		0
LAKE	73	32	30.48%	105	0	0		0
LEE	118	21	15.11%	139	61	25	29.07%	86
LEON	60	12	16.67%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	62	6	8.82%	68	0	0		0
MARION	89	2	2.20%	91	0	0		0
MARTIN	16	5	23.81%	21	0	0		0
MIAMI-DADE	766	189	19.79%	955	71	50	41.32%	121
MONROE	6	6	50.00%	12	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	273	129	32.09%	402	81	45	35.71%	126
OSCEOLA	95	28	22.76%	123	0	0		0
PALM BEACH	286	116	28.86%	402	14	18	56.25%	32
PASCO	137	11	7.43%	148	0	0		0
PINELLAS	252	59	18.97%	311	40	5	11.11%	45
POLK	143	37	20.56%	180	11	3	21.43%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	13	8	38.10%	21	0	0		0
SARASOTA	90	18	16.67%	108	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	5	1	16.67%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	159	79	33.19%	238	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
