County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,580	15,917	26.31%	60,497
ALACHUA	1,474	228	13.40%	1,702
BAKER	476	149	23.84%	625
BAY	438	111	20.22%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,127	433	27.76%	1,560
BROWARD	4,064	1,108	21.42%	5,172
CALHOUN	6	4	40.00%	10
CHARLOTTE	439	256	36.83%	695
CITRUS	215	86	28.57%	301
CLAY	453	95	17.34%	548
COLLIER	651	181	21.75%	832
COLUMBIA	102	6	5.56%	108
DESOTO	23	32	58.18%	55
DUVAL	2,825	940	24.97%	3,765
ESCAMBIA	1,034	445	30.09%	1,479
FLAGLER	68	31	31.31%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	755	198	20.78%	953
GULF	4	17	80.95%	21
HARDEE	24	1	4.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	468	274	36.93%	742
HIGHLANDS	178	82	31.54%	260
HILLSBOROUGH	3,019	726	19.39%	3,745
HOLMES	10	10	50.00%	20
INDIAN RIVER	292	154	34.53%	446
JACKSON	47	44	48.35%	91
LAKE	658	252	27.69%	910
LEE	1,405	460	24.66%	1,865
LEON	739	116	13.57%	855
MADISON	9	6	40.00%	15
MANATEE	583	154	20.90%	737
MARION	796	127	13.76%	923
MARTIN	220	270	55.10%	490
MIAMI-DADE	6,085	2,417	28.43%	8,502
MONROE	111	25	18.38%	136
NASSAU	35	33	48.53%	68
OKALOOSA	338	113	25.06%	451
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,357	1,030	23.48%	4,387
OSCEOLA	812	332	29.02%	1,144
PALM BEACH	2,647	1,375	34.19%	4,022
PASCO	1,037	351	25.29%	1,388
PINELLAS	2,154	903	29.54%	3,057
POLK	1,233	358	22.50%	1,591
PUTNAM	52	32	38.10%	84
SANTA ROSA	157	208	56.99%	365
SARASOTA	965	214	18.15%	1,179
SEMINOLE	667	262	28.20%	929
ST. JOHNS	175	155	46.97%	330
ST. LUCIE	671	202	23.14%	873
SUMTER	231	116	33.43%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	63	41	39.42%	104
VOLUSIA	1,027	573	35.81%	1,600
WALTON	51	66	56.41%	117
WASHINGTON	41	18	30.51%	59
