County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,058	16,468	27.21%	60,526
ALACHUA	1,445	252	14.85%	1,697
BAKER	469	156	24.96%	625
BAY	463	99	17.62%	562
BRADFORD	5	5	50.00%	10
BREVARD	1,168	432	27.00%	1,600
BROWARD	3,896	1,169	23.08%	5,065
CALHOUN	4	6	60.00%	10
CHARLOTTE	381	216	36.18%	597
CITRUS	229	66	22.37%	295
CLAY	465	133	22.24%	598
COLLIER	712	175	19.73%	887
COLUMBIA	84	0	0.00%	84
DESOTO	16	39	70.91%	55
DUVAL	2,726	1,111	28.95%	3,837
ESCAMBIA	998	491	32.98%	1,489
FLAGLER	85	14	14.14%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	745	208	21.83%	953
GULF	7	14	66.67%	21
HARDEE	22	3	12.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	460	296	39.15%	756
HIGHLANDS	157	101	39.15%	258
HILLSBOROUGH	2,958	739	19.99%	3,697
HOLMES	5	15	75.00%	20
INDIAN RIVER	266	186	41.15%	452
JACKSON	35	64	64.65%	99
LAKE	727	179	19.76%	906
LEE	1,437	423	22.74%	1,860
LEON	690	157	18.54%	847
MADISON	8	7	46.67%	15
MANATEE	593	161	21.35%	754
MARION	792	113	12.49%	905
MARTIN	229	277	54.74%	506
MIAMI-DADE	6,001	2,478	29.23%	8,479
MONROE	109	24	18.05%	133
NASSAU	30	38	55.88%	68
OKALOOSA	336	115	25.50%	451
OKEECHOBEE	64	36	36.00%	100
ORANGE	3,271	1,114	25.40%	4,385
OSCEOLA	791	356	31.04%	1,147
PALM BEACH	2,664	1,323	33.18%	3,987
PASCO	1,062	339	24.20%	1,401
PINELLAS	2,098	1,068	33.73%	3,166
POLK	1,208	404	25.06%	1,612
PUTNAM	54	30	35.71%	84
SANTA ROSA	132	220	62.50%	352
SARASOTA	949	289	23.34%	1,238
SEMINOLE	632	293	31.68%	925
ST. JOHNS	191	139	42.12%	330
ST. LUCIE	682	193	22.06%	875
SUMTER	241	106	30.55%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	60	40	40.00%	100
VOLUSIA	1,078	452	29.54%	1,530
WALTON	67	50	42.74%	117
WASHINGTON	45	14	23.73%	59
