County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,524	14,205	23.01%	61,729
ALACHUA	1,486	275	15.62%	1,761
BAKER	479	146	23.36%	625
BAY	460	84	15.44%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,164	508	30.38%	1,672
BROWARD	4,410	1,031	18.95%	5,441
CALHOUN	4	6	60.00%	10
CHARLOTTE	441	152	25.63%	593
CITRUS	212	81	27.65%	293
CLAY	481	58	10.76%	539
COLLIER	770	129	14.35%	899
COLUMBIA	104	0	0.00%	104
DESOTO	21	37	63.79%	58
DUVAL	2,701	827	23.44%	3,528
ESCAMBIA	1,038	445	30.01%	1,483
FLAGLER	88	11	11.11%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	667	286	30.01%	953
GULF	8	13	61.90%	21
HARDEE	22	3	12.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	562	169	23.12%	731
HIGHLANDS	232	27	10.42%	259
HILLSBOROUGH	3,268	919	21.95%	4,187
HOLMES	11	9	45.00%	20
INDIAN RIVER	366	106	22.46%	472
JACKSON	37	52	58.43%	89
LAKE	705	204	22.44%	909
LEE	1,520	310	16.94%	1,830
LEON	774	97	11.14%	871
MADISON	13	0	0.00%	13
MANATEE	645	129	16.67%	774
MARION	850	112	11.64%	962
MARTIN	287	146	33.72%	433
MIAMI-DADE	6,671	2,075	23.73%	8,746
MONROE	65	104	61.54%	169
NASSAU	33	35	51.47%	68
OKALOOSA	366	93	20.26%	459
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,347	1,252	27.22%	4,599
OSCEOLA	908	234	20.49%	1,142
PALM BEACH	2,997	1,075	26.40%	4,072
PASCO	1,165	257	18.07%	1,422
PINELLAS	2,310	842	26.71%	3,152
POLK	1,370	342	19.98%	1,712
PUTNAM	69	15	17.86%	84
SANTA ROSA	117	132	53.01%	249
SARASOTA	1,022	209	16.98%	1,231
SEMINOLE	701	231	24.79%	932
ST. JOHNS	200	132	39.76%	332
ST. LUCIE	760	123	13.93%	883
SUMTER	244	103	29.68%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	46	29	38.67%	75
VOLUSIA	1,134	384	25.30%	1,518
WALTON	63	51	44.74%	114
WASHINGTON	41	18	30.51%	59
