County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,099	13,795	22.29%	61,894
ALACHUA	1,523	254	14.29%	1,777
BAKER	522	103	16.48%	625
BAY	462	112	19.51%	574
BRADFORD	5	5	50.00%	10
BREVARD	1,227	405	24.82%	1,632
BROWARD	4,436	1,055	19.21%	5,491
CALHOUN	8	2	20.00%	10
CHARLOTTE	487	145	22.94%	632
CITRUS	244	64	20.78%	308
CLAY	513	50	8.88%	563
COLLIER	759	133	14.91%	892
COLUMBIA	93	0	0.00%	93
DESOTO	23	34	59.65%	57
DUVAL	2,945	855	22.50%	3,800
ESCAMBIA	1,097	359	24.66%	1,456
FLAGLER	88	11	11.11%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	547	406	42.60%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	564	168	22.95%	732
HIGHLANDS	232	28	10.77%	260
HILLSBOROUGH	3,332	771	18.79%	4,103
HOLMES	17	5	22.73%	22
INDIAN RIVER	353	115	24.57%	468
JACKSON	57	35	38.04%	92
LAKE	697	228	24.65%	925
LEE	1,548	262	14.48%	1,810
LEON	723	132	15.44%	855
MADISON	10	5	33.33%	15
MANATEE	688	92	11.79%	780
MARION	845	94	10.01%	939
MARTIN	273	155	36.21%	428
MIAMI-DADE	6,604	2,070	23.86%	8,674
MONROE	67	102	60.36%	169
NASSAU	37	31	45.59%	68
OKALOOSA	369	82	18.18%	451
OKEECHOBEE	61	39	39.00%	100
ORANGE	3,308	1,181	26.31%	4,489
OSCEOLA	881	290	24.77%	1,171
PALM BEACH	3,005	963	24.27%	3,968
PASCO	1,173	278	19.16%	1,451
PINELLAS	2,385	892	27.22%	3,277
POLK	1,380	316	18.63%	1,696
PUTNAM	69	15	17.86%	84
SANTA ROSA	132	227	63.23%	359
SARASOTA	1,042	48	4.40%	1,090
SEMINOLE	733	207	22.02%	940
ST. JOHNS	205	127	38.25%	332
ST. LUCIE	737	119	13.90%	856
SUMTER	284	63	18.16%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	48	27	36.00%	75
VOLUSIA	1,119	500	30.88%	1,619
WALTON	52	63	54.78%	115
WASHINGTON	40	20	33.33%	60
