County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	42,673	17,544	29.13%	60,217
ALACHUA	1,371	332	19.50%	1,703
BAKER	468	157	25.12%	625
BAY	432	112	20.59%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,090	520	32.30%	1,610
BROWARD	3,926	1,188	23.23%	5,114
CALHOUN	6	4	40.00%	10
CHARLOTTE	393	202	33.95%	595
CITRUS	195	83	29.86%	278
CLAY	447	106	19.17%	553
COLLIER	631	180	22.19%	811
COLUMBIA	90	1	1.10%	91
DESOTO	23	32	58.18%	55
DUVAL	2,551	1,236	32.64%	3,787
ESCAMBIA	1,003	501	33.31%	1,504
FLAGLER	95	10	9.52%	105
FRANKLIN	1	14	93.33%	15
GADSDEN	745	208	21.83%	953
GULF	5	16	76.19%	21
HARDEE	21	4	16.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	494	267	35.09%	761
HIGHLANDS	162	90	35.71%	252
HILLSBOROUGH	2,859	832	22.54%	3,691
HOLMES	3	17	85.00%	20
INDIAN RIVER	262	178	40.45%	440
JACKSON	42	55	56.70%	97
LAKE	664	238	26.39%	902
LEE	1,335	522	28.11%	1,857
LEON	684	169	19.81%	853
MADISON	8	7	46.67%	15
MANATEE	609	132	17.81%	741
MARION	743	140	15.86%	883
MARTIN	225	281	55.53%	506
MIAMI-DADE	5,858	2,562	30.43%	8,420
MONROE	84	42	33.33%	126
NASSAU	28	42	60.00%	70
OKALOOSA	332	119	26.39%	451
OKEECHOBEE	51	49	49.00%	100
ORANGE	3,100	1,235	28.49%	4,335
OSCEOLA	799	342	29.97%	1,141
PALM BEACH	2,544	1,510	37.25%	4,054
PASCO	1,080	314	22.53%	1,394
PINELLAS	2,093	1,041	33.22%	3,134
POLK	1,158	451	28.03%	1,609
PUTNAM	55	29	34.52%	84
SANTA ROSA	135	217	61.65%	352
SARASOTA	886	305	25.61%	1,191
SEMINOLE	617	314	33.73%	931
ST. JOHNS	171	159	48.18%	330
ST. LUCIE	631	245	27.97%	876
SUMTER	226	121	34.87%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	65	35	35.00%	100
VOLUSIA	1,063	465	30.43%	1,528
WALTON	46	71	60.68%	117
WASHINGTON	47	12	20.34%	59
