County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,257	15,055	24.96%	60,312
ALACHUA	1,460	250	14.62%	1,710
BAKER	131	494	79.04%	625
BAY	438	115	20.80%	553
BRADFORD	5	5	50.00%	10
BREVARD	1,205	430	26.30%	1,635
BROWARD	4,083	1,036	20.24%	5,119
CALHOUN	8	2	20.00%	10
CHARLOTTE	427	286	40.11%	713
CITRUS	216	64	22.86%	280
CLAY	477	83	14.82%	560
COLLIER	729	144	16.49%	873
COLUMBIA	112	2	1.75%	114
DESOTO	28	27	49.09%	55
DUVAL	2,739	877	24.25%	3,616
ESCAMBIA	1,078	407	27.41%	1,485
FLAGLER	70	29	29.29%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	778	171	18.02%	949
GULF	8	13	61.90%	21
HARDEE	18	7	28.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	459	261	36.25%	720
HIGHLANDS	217	37	14.57%	254
HILLSBOROUGH	3,032	719	19.17%	3,751
HOLMES	7	13	65.00%	20
INDIAN RIVER	295	157	34.73%	452
JACKSON	45	60	57.14%	105
LAKE	710	196	21.63%	906
LEE	1,439	355	19.79%	1,794
LEON	728	119	14.05%	847
MADISON	9	6	40.00%	15
MANATEE	584	159	21.40%	743
MARION	809	98	10.80%	907
MARTIN	229	261	53.27%	490
MIAMI-DADE	6,371	2,104	24.83%	8,475
MONROE	85	20	19.05%	105
NASSAU	37	31	45.59%	68
OKALOOSA	348	103	22.84%	451
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,370	1,012	23.09%	4,382
OSCEOLA	850	295	25.76%	1,145
PALM BEACH	2,714	1,430	34.51%	4,144
PASCO	1,088	305	21.90%	1,393
PINELLAS	2,286	652	22.19%	2,938
POLK	1,274	391	23.48%	1,665
PUTNAM	51	33	39.29%	84
SANTA ROSA	157	198	55.77%	355
SARASOTA	969	198	16.97%	1,167
SEMINOLE	671	260	27.93%	931
ST. JOHNS	214	116	35.15%	330
ST. LUCIE	665	204	23.48%	869
SUMTER	217	130	37.46%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	60	59	49.58%	119
VOLUSIA	1,066	490	31.49%	1,556
WALTON	79	38	32.48%	117
WASHINGTON	49	10	16.95%	59
