County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,633	1,442	23.74%	6,075	433	230	34.69%	663
ALACHUA	275	33	10.71%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	56	6	9.68%	62	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	118	51	30.18%	169	0	0		0
BROWARD	348	95	21.44%	443	44	31	41.33%	75
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	45	17	27.42%	62	0	4	100.00%	4
COLLIER	56	29	34.12%	85	0	0		0
COLUMBIA	13	0	0.00%	13	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	325	112	25.63%	437	27	13	32.50%	40
ESCAMBIA	127	14	9.93%	141	11	5	31.25%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	39	23	37.10%	62	0	0		0
HIGHLANDS	21	6	22.22%	27	0	0		0
HILLSBOROUGH	328	55	14.36%	383	25	16	39.02%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	26	4	13.33%	30	0	0		0
JACKSON	7	2	22.22%	9	0	0		0
LAKE	69	35	33.65%	104	0	0		0
LEE	100	38	27.54%	138	67	19	22.09%	86
LEON	66	6	8.33%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	63	9	12.50%	72	0	0		0
MARION	78	6	7.14%	84	0	0		0
MARTIN	17	22	56.41%	39	0	0		0
MIAMI-DADE	739	209	22.05%	948	77	43	35.83%	120
MONROE	9	4	30.77%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	51	3	5.56%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	267	137	33.91%	404	79	47	37.30%	126
OSCEOLA	82	41	33.33%	123	0	0		0
PALM BEACH	251	135	34.97%	386	16	17	51.52%	33
PASCO	112	21	15.79%	133	0	0		0
PINELLAS	244	62	20.26%	306	32	5	13.51%	37
POLK	139	42	23.20%	181	10	4	28.57%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	70	42	37.50%	112	0	0		0
SEMINOLE	61	12	16.44%	73	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	69	20	22.47%	89	5	1	16.67%	6
SUMTER	27	13	32.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	164	75	31.38%	239	0	5	100.00%	5
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
