County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,166	16,368	26.60%	61,534
ALACHUA	1,469	231	13.59%	1,700
BAKER	522	103	16.48%	625
BAY	401	157	28.14%	558
BRADFORD	5	5	50.00%	10
BREVARD	1,099	528	32.45%	1,627
BROWARD	4,307	1,201	21.80%	5,508
CALHOUN	18	0	0.00%	18
CHARLOTTE	390	212	35.22%	602
CITRUS	216	81	27.27%	297
CLAY	496	74	12.98%	570
COLLIER	734	112	13.24%	846
COLUMBIA	104	0	0.00%	104
DESOTO	44	16	26.67%	60
DUVAL	2,602	1,143	30.52%	3,745
ESCAMBIA	1,013	443	30.43%	1,456
FLAGLER	97	2	2.02%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	546	407	42.71%	953
GULF	9	12	57.14%	21
HARDEE	25	0	0.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	513	227	30.68%	740
HIGHLANDS	203	54	21.01%	257
HILLSBOROUGH	3,200	927	22.46%	4,127
HOLMES	15	5	25.00%	20
INDIAN RIVER	290	164	36.12%	454
JACKSON	52	48	48.00%	100
LAKE	635	265	29.44%	900
LEE	1,396	412	22.79%	1,808
LEON	682	158	18.81%	840
MADISON	5	10	66.67%	15
MANATEE	627	116	15.61%	743
MARION	774	149	16.14%	923
MARTIN	272	160	37.04%	432
MIAMI-DADE	6,227	2,436	28.12%	8,663
MONROE	72	97	57.40%	169
NASSAU	30	38	55.88%	68
OKALOOSA	322	130	28.76%	452
OKEECHOBEE	40	60	60.00%	100
ORANGE	3,311	1,134	25.51%	4,445
OSCEOLA	827	320	27.90%	1,147
PALM BEACH	2,751	1,258	31.38%	4,009
PASCO	1,077	348	24.42%	1,425
PINELLAS	2,218	1,040	31.92%	3,258
POLK	1,266	415	24.69%	1,681
PUTNAM	63	21	25.00%	84
SANTA ROSA	111	233	67.73%	344
SARASOTA	1,112	139	11.11%	1,251
SEMINOLE	688	244	26.18%	932
ST. JOHNS	170	161	48.64%	331
ST. LUCIE	698	153	17.98%	851
SUMTER	256	91	26.22%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	44	31	41.33%	75
VOLUSIA	1,007	482	32.37%	1,489
WALTON	60	55	47.83%	115
WASHINGTON	39	20	33.90%	59
