County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,404	1,593	26.56%	5,997	401	248	38.21%	649
ALACHUA	249	59	19.16%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	48	14	22.58%	62	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	117	49	29.52%	166	0	0		0
BROWARD	340	99	22.55%	439	32	37	53.62%	69
CALHOUN	0	0		0	0	0		0
CHARLOTTE	48	5	9.43%	53	0	0		0
CITRUS	29	11	27.50%	40	0	0		0
CLAY	49	12	19.67%	61	4	0	0.00%	4
COLLIER	53	32	37.65%	85	0	0		0
COLUMBIA	17	1	5.56%	18	0	0		0
DESOTO	2	6	75.00%	8	0	0		0
DUVAL	318	103	24.47%	421	22	18	45.00%	40
ESCAMBIA	125	16	11.35%	141	7	9	56.25%	16
FLAGLER	11	7	38.89%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	43	19	30.65%	62	0	0		0
HIGHLANDS	18	10	35.71%	28	0	0		0
HILLSBOROUGH	311	56	15.26%	367	17	25	59.52%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	11	35.48%	31	0	0		0
JACKSON	4	4	50.00%	8	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	95	42	30.66%	137	64	22	25.58%	86
LEON	65	7	9.72%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	61	9	12.86%	70	0	0		0
MARION	74	9	10.84%	83	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	723	223	23.57%	946	70	46	39.66%	116
MONROE	7	6	46.15%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	252	152	37.62%	404	89	37	29.37%	126
OSCEOLA	89	38	29.92%	127	0	0		0
PALM BEACH	238	159	40.05%	397	18	14	43.75%	32
PASCO	103	27	20.77%	130	0	0		0
PINELLAS	222	73	24.75%	295	28	5	15.15%	33
POLK	115	43	27.22%	158	6	8	57.14%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	8	11	57.89%	19	0	0		0
SARASOTA	52	56	51.85%	108	0	0		0
SEMINOLE	60	13	17.81%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	75	14	15.73%	89	6	0	0.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	149	77	34.07%	226	0	5	100.00%	5
WALTON	7	16	69.57%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
