County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,693	1,371	22.61%	6,064	427	181	29.77%	608
ALACHUA	269	39	12.66%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	49	13	20.97%	62	1	3	75.00%	4
BREVARD	121	44	26.67%	165	0	0		0
BROWARD	367	97	20.91%	464	37	26	41.27%	63
CALHOUN	0	0		0	0	0		0
CHARLOTTE	36	19	34.55%	55	0	0		0
CITRUS	33	6	15.38%	39	0	0		0
CLAY	32	10	23.81%	42	4	2	33.33%	6
COLLIER	60	20	25.00%	80	0	0		0
COLUMBIA	26	3	10.34%	29	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	327	113	25.68%	440	31	9	22.50%	40
ESCAMBIA	108	4	3.57%	112	5	11	68.75%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	56	9	13.85%	65	0	0		0
HIGHLANDS	19	14	42.42%	33	0	0		0
HILLSBOROUGH	353	88	19.95%	441	24	20	45.45%	44
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	14	43.75%	32	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	71	12	14.46%	83	0	0		0
LEE	108	34	23.94%	142	60	32	34.78%	92
LEON	56	16	22.22%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	63	31	32.98%	94	0	0		0
MARION	78	30	27.78%	108	0	0		0
MARTIN	11	21	65.63%	32	0	0		0
MIAMI-DADE	724	249	25.59%	973	80	11	12.09%	91
MONROE	4	10	71.43%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	50	7	12.28%	57	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	250	60	19.35%	310	76	26	25.49%	102
OSCEOLA	78	20	20.41%	98	0	6	100.00%	6
PALM BEACH	328	115	25.96%	443	24	8	25.00%	32
PASCO	119	20	14.39%	139	0	0		0
PINELLAS	274	48	14.91%	322	43	2	4.44%	45
POLK	114	43	27.39%	157	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	5	12	70.59%	17	0	0		0
SARASOTA	83	27	24.55%	110	0	0		0
SEMINOLE	57	11	16.18%	68	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	5	1	16.67%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	157	46	22.66%	203	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
