County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,008	14,776	23.92%	61,784
ALACHUA	1,457	335	18.69%	1,792
BAKER	474	151	24.16%	625
BAY	429	115	21.14%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,207	417	25.68%	1,624
BROWARD	4,359	1,046	19.35%	5,405
CALHOUN	8	2	20.00%	10
CHARLOTTE	427	182	29.89%	609
CITRUS	197	102	34.11%	299
CLAY	458	144	23.92%	602
COLLIER	787	145	15.56%	932
COLUMBIA	97	0	0.00%	97
DESOTO	13	46	77.97%	59
DUVAL	2,660	1,037	28.05%	3,697
ESCAMBIA	993	487	32.91%	1,480
FLAGLER	91	8	8.08%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	701	252	26.44%	953
GULF	5	16	76.19%	21
HARDEE	23	3	11.54%	26
HENDRY	5	24	82.76%	29
HERNANDO	413	213	34.03%	626
HIGHLANDS	225	32	12.45%	257
HILLSBOROUGH	3,246	893	21.58%	4,139
HOLMES	11	9	45.00%	20
INDIAN RIVER	330	121	26.83%	451
JACKSON	32	62	65.96%	94
LAKE	697	213	23.41%	910
LEE	1,592	242	13.20%	1,834
LEON	728	120	14.15%	848
MADISON	10	5	33.33%	15
MANATEE	659	117	15.08%	776
MARION	803	125	13.47%	928
MARTIN	262	132	33.50%	394
MIAMI-DADE	6,600	2,006	23.31%	8,606
MONROE	81	80	49.69%	161
NASSAU	27	41	60.29%	68
OKALOOSA	333	127	27.61%	460
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,482	1,253	26.46%	4,735
OSCEOLA	879	274	23.76%	1,153
PALM BEACH	2,921	1,135	27.98%	4,056
PASCO	1,170	261	18.24%	1,431
PINELLAS	2,311	869	27.33%	3,180
POLK	1,280	424	24.88%	1,704
PUTNAM	53	31	36.90%	84
SANTA ROSA	91	109	54.50%	200
SARASOTA	1,125	171	13.19%	1,296
SEMINOLE	694	242	25.85%	936
ST. JOHNS	194	137	41.39%	331
ST. LUCIE	732	133	15.38%	865
SUMTER	241	106	30.55%	347
SUWANNEE	0	0		0
TAYLOR	5	43	89.58%	48
UNION	48	22	31.43%	70
VOLUSIA	1,172	396	25.26%	1,568
WALTON	56	50	47.17%	106
WASHINGTON	46	13	22.03%	59
