County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,720	16,113	26.49%	60,833
ALACHUA	1,386	316	18.57%	1,702
BAKER	489	136	21.76%	625
BAY	430	113	20.81%	543
BRADFORD	5	5	50.00%	10
BREVARD	1,153	476	29.22%	1,629
BROWARD	3,991	1,121	21.93%	5,112
CALHOUN	6	4	40.00%	10
CHARLOTTE	397	216	35.24%	613
CITRUS	214	99	31.63%	313
CLAY	468	96	17.02%	564
COLLIER	725	141	16.28%	866
COLUMBIA	99	0	0.00%	99
DESOTO	21	34	61.82%	55
DUVAL	2,626	1,113	29.77%	3,739
ESCAMBIA	1,055	401	27.54%	1,456
FLAGLER	91	8	8.08%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	570	383	40.19%	953
GULF	10	11	52.38%	21
HARDEE	20	5	20.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	487	251	34.01%	738
HIGHLANDS	201	55	21.48%	256
HILLSBOROUGH	3,222	760	19.09%	3,982
HOLMES	10	10	50.00%	20
INDIAN RIVER	302	140	31.67%	442
JACKSON	45	45	50.00%	90
LAKE	655	253	27.86%	908
LEE	1,429	370	20.57%	1,799
LEON	720	124	14.69%	844
MADISON	11	4	26.67%	15
MANATEE	653	104	13.74%	757
MARION	779	135	14.77%	914
MARTIN	240	190	44.19%	430
MIAMI-DADE	6,113	2,579	29.67%	8,692
MONROE	62	95	60.51%	157
NASSAU	23	45	66.18%	68
OKALOOSA	362	90	19.91%	452
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,275	1,093	25.02%	4,368
OSCEOLA	834	319	27.67%	1,153
PALM BEACH	2,693	1,279	32.20%	3,972
PASCO	1,171	190	13.96%	1,361
PINELLAS	2,215	1,037	31.89%	3,252
POLK	1,253	420	25.10%	1,673
PUTNAM	67	17	20.24%	84
SANTA ROSA	121	221	64.62%	342
SARASOTA	993	179	15.27%	1,172
SEMINOLE	701	229	24.62%	930
ST. JOHNS	167	165	49.70%	332
ST. LUCIE	640	215	25.15%	855
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	47	30	38.96%	77
VOLUSIA	1,032	553	34.89%	1,585
WALTON	73	44	37.61%	117
WASHINGTON	45	14	23.73%	59
