County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,797	12,518	20.09%	62,315
ALACHUA	1,526	230	13.10%	1,756
BAKER	480	145	23.20%	625
BAY	475	84	15.03%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,223	451	26.94%	1,674
BROWARD	4,520	890	16.45%	5,410
CALHOUN	4	6	60.00%	10
CHARLOTTE	466	151	24.47%	617
CITRUS	241	68	22.01%	309
CLAY	477	79	14.21%	556
COLLIER	831	111	11.78%	942
COLUMBIA	112	0	0.00%	112
DESOTO	21	37	63.79%	58
DUVAL	2,845	911	24.25%	3,756
ESCAMBIA	1,116	367	24.75%	1,483
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	671	282	29.59%	953
GULF	5	16	76.19%	21
HARDEE	24	1	4.00%	25
HENDRY	4	25	86.21%	29
HERNANDO	582	147	20.16%	729
HIGHLANDS	266	24	8.28%	290
HILLSBOROUGH	3,427	780	18.54%	4,207
HOLMES	9	11	55.00%	20
INDIAN RIVER	388	83	17.62%	471
JACKSON	36	54	60.00%	90
LAKE	750	181	19.44%	931
LEE	1,595	229	12.55%	1,824
LEON	749	115	13.31%	864
MADISON	14	1	6.67%	15
MANATEE	695	95	12.03%	790
MARION	894	77	7.93%	971
MARTIN	307	126	29.10%	433
MIAMI-DADE	6,954	1,830	20.83%	8,784
MONROE	79	89	52.98%	168
NASSAU	41	27	39.71%	68
OKALOOSA	367	93	20.22%	460
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,541	1,075	23.29%	4,616
OSCEOLA	965	191	16.52%	1,156
PALM BEACH	3,130	913	22.58%	4,043
PASCO	1,208	242	16.69%	1,450
PINELLAS	2,448	735	23.09%	3,183
POLK	1,432	293	16.99%	1,725
PUTNAM	72	12	14.29%	84
SANTA ROSA	126	128	50.39%	254
SARASOTA	1,141	101	8.13%	1,242
SEMINOLE	755	212	21.92%	967
ST. JOHNS	210	122	36.75%	332
ST. LUCIE	804	95	10.57%	899
SUMTER	256	91	26.22%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	48	22	31.43%	70
VOLUSIA	1,190	338	22.12%	1,528
WALTON	72	42	36.84%	114
WASHINGTON	46	13	22.03%	59
