County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,935	14,823	24.40%	60,758
ALACHUA	1,436	260	15.33%	1,696
BAKER	469	156	24.96%	625
BAY	459	100	17.89%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,255	385	23.48%	1,640
BROWARD	4,140	1,092	20.87%	5,232
CALHOUN	8	2	20.00%	10
CHARLOTTE	417	199	32.31%	616
CITRUS	226	73	24.41%	299
CLAY	452	103	18.56%	555
COLLIER	721	142	16.45%	863
COLUMBIA	95	0	0.00%	95
DESOTO	15	40	72.73%	55
DUVAL	2,848	933	24.68%	3,781
ESCAMBIA	1,071	418	28.07%	1,489
FLAGLER	82	17	17.17%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	751	202	21.20%	953
GULF	5	16	76.19%	21
HARDEE	22	3	12.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	513	247	32.50%	760
HIGHLANDS	176	83	32.05%	259
HILLSBOROUGH	3,050	679	18.21%	3,729
HOLMES	7	13	65.00%	20
INDIAN RIVER	313	143	31.36%	456
JACKSON	41	60	59.41%	101
LAKE	700	208	22.91%	908
LEE	1,492	359	19.39%	1,851
LEON	744	124	14.29%	868
MADISON	9	6	40.00%	15
MANATEE	676	99	12.77%	775
MARION	822	112	11.99%	934
MARTIN	235	271	53.56%	506
MIAMI-DADE	6,288	2,275	26.57%	8,563
MONROE	113	20	15.04%	133
NASSAU	43	25	36.76%	68
OKALOOSA	343	108	23.95%	451
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,320	1,068	24.34%	4,388
OSCEOLA	825	320	27.95%	1,145
PALM BEACH	2,787	1,239	30.77%	4,026
PASCO	1,067	325	23.35%	1,392
PINELLAS	2,226	813	26.75%	3,039
POLK	1,268	319	20.10%	1,587
PUTNAM	61	23	27.38%	84
SANTA ROSA	126	222	63.79%	348
SARASOTA	958	235	19.70%	1,193
SEMINOLE	689	236	25.51%	925
ST. JOHNS	199	132	39.88%	331
ST. LUCIE	714	162	18.49%	876
SUMTER	259	88	25.36%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	61	40	39.60%	101
VOLUSIA	1,158	466	28.69%	1,624
WALTON	69	48	41.03%	117
WASHINGTON	45	14	23.73%	59
