County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,961	14,036	23.01%	60,997
ALACHUA	1,466	256	14.87%	1,722
BAKER	134	491	78.56%	625
BAY	425	140	24.78%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,232	396	24.32%	1,628
BROWARD	4,287	988	18.73%	5,275
CALHOUN	9	1	10.00%	10
CHARLOTTE	450	261	36.71%	711
CITRUS	256	39	13.22%	295
CLAY	470	82	14.86%	552
COLLIER	738	146	16.52%	884
COLUMBIA	112	1	0.88%	113
DESOTO	28	27	49.09%	55
DUVAL	2,815	926	24.75%	3,741
ESCAMBIA	1,135	360	24.08%	1,495
FLAGLER	79	20	20.20%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	779	170	17.91%	949
GULF	11	10	47.62%	21
HARDEE	20	5	20.00%	25
HENDRY	17	12	41.38%	29
HERNANDO	517	212	29.08%	729
HIGHLANDS	217	34	13.55%	251
HILLSBOROUGH	3,243	608	15.79%	3,851
HOLMES	5	15	75.00%	20
INDIAN RIVER	309	149	32.53%	458
JACKSON	51	54	51.43%	105
LAKE	716	190	20.97%	906
LEE	1,440	347	19.42%	1,787
LEON	731	132	15.30%	863
MADISON	13	2	13.33%	15
MANATEE	635	125	16.45%	760
MARION	823	96	10.45%	919
MARTIN	225	265	54.08%	490
MIAMI-DADE	6,690	1,848	21.64%	8,538
MONROE	83	26	23.85%	109
NASSAU	40	28	41.18%	68
OKALOOSA	356	95	21.06%	451
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,459	939	21.35%	4,398
OSCEOLA	873	278	24.15%	1,151
PALM BEACH	2,841	1,350	32.21%	4,191
PASCO	1,128	264	18.97%	1,392
PINELLAS	2,335	592	20.23%	2,927
POLK	1,335	348	20.68%	1,683
PUTNAM	63	21	25.00%	84
SANTA ROSA	151	201	57.10%	352
SARASOTA	966	217	18.34%	1,183
SEMINOLE	708	229	24.44%	937
ST. JOHNS	228	102	30.91%	330
ST. LUCIE	695	178	20.39%	873
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	63	57	47.50%	120
VOLUSIA	1,140	460	28.75%	1,600
WALTON	66	51	43.59%	117
WASHINGTON	45	16	26.23%	61
