County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,196	949	15.44%	6,145	373	241	39.25%	614
ALACHUA	275	33	10.71%	308	33	14	29.79%	47
BAKER	0	0		0	0	0		0
BAY	68	3	4.23%	71	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	129	41	24.12%	170	0	0		0
BROWARD	471	55	10.46%	526	32	29	47.54%	61
CALHOUN	0	0		0	0	0		0
CHARLOTTE	51	8	13.56%	59	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	39	3	7.14%	42	3	3	50.00%	6
COLLIER	63	18	22.22%	81	0	0		0
COLUMBIA	26	1	3.70%	27	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	345	96	21.77%	441	20	20	50.00%	40
ESCAMBIA	114	4	3.39%	118	8	8	50.00%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	62	0	0.00%	62	0	0		0
HIGHLANDS	23	4	14.81%	27	0	0		0
HILLSBOROUGH	354	33	8.53%	387	21	20	48.78%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	11	39.29%	28	0	0		0
JACKSON	9	4	30.77%	13	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	131	10	7.09%	141	58	28	32.56%	86
LEON	66	6	8.33%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	56	11	16.42%	67	0	0		0
MARION	88	2	2.22%	90	0	0		0
MARTIN	13	26	66.67%	39	0	0		0
MIAMI-DADE	834	108	11.46%	942	64	38	37.25%	102
MONROE	13	0	0.00%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	53	1	1.85%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	308	72	18.95%	380	76	36	32.14%	112
OSCEOLA	89	43	32.58%	132	0	6	100.00%	6
PALM BEACH	324	103	24.12%	427	14	18	56.25%	32
PASCO	122	10	7.58%	132	0	0		0
PINELLAS	255	35	12.07%	290	36	5	12.20%	41
POLK	150	10	6.25%	160	0	0		0
PUTNAM	11	0	0.00%	11	0	0		0
SANTA ROSA	12	10	45.45%	22	0	0		0
SARASOTA	95	26	21.49%	121	0	0		0
SEMINOLE	61	9	12.86%	70	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	77	13	14.44%	90	6	0	0.00%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	176	63	26.36%	239	0	5	100.00%	5
WALTON	22	1	4.35%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
