County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,011	1,188	19.16%	6,199	378	251	39.90%	629
ALACHUA	283	25	8.12%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	53	7	11.67%	60	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	140	38	21.35%	178	0	0		0
BROWARD	451	68	13.10%	519	33	27	45.00%	60
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	37	5	11.90%	42	4	10	71.43%	14
COLLIER	65	20	23.53%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	335	107	24.21%	442	13	27	67.50%	40
ESCAMBIA	138	9	6.12%	147	5	11	68.75%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	27	6	18.18%	33	0	0		0
HILLSBOROUGH	335	47	12.30%	382	21	20	48.78%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	28	3	9.68%	31	0	0		0
JACKSON	10	7	41.18%	17	0	0		0
LAKE	71	33	31.73%	104	0	0		0
LEE	109	32	22.70%	141	68	18	20.93%	86
LEON	58	14	19.44%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	52	16	23.53%	68	0	0		0
MARION	77	14	15.38%	91	0	0		0
MARTIN	15	24	61.54%	39	0	0		0
MIAMI-DADE	825	166	16.75%	991	73	38	34.23%	111
MONROE	9	0	0.00%	9	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	52	2	3.70%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	286	86	23.12%	372	72	40	35.71%	112
OSCEOLA	83	46	35.66%	129	0	6	100.00%	6
PALM BEACH	301	115	27.64%	416	15	17	53.13%	32
PASCO	117	15	11.36%	132	0	0		0
PINELLAS	251	47	15.77%	298	35	5	12.50%	40
POLK	143	29	16.86%	172	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	12	10	45.45%	22	0	0		0
SARASOTA	71	36	33.64%	107	0	0		0
SEMINOLE	60	11	15.49%	71	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	4	2	33.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	179	68	27.53%	247	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
