County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,614	14,737	24.02%	61,351
ALACHUA	1,490	242	13.97%	1,732
BAKER	484	141	22.56%	625
BAY	451	109	19.46%	560
BRADFORD	5	5	50.00%	10
BREVARD	1,203	413	25.56%	1,616
BROWARD	4,283	968	18.43%	5,251
CALHOUN	4	6	60.00%	10
CHARLOTTE	458	155	25.29%	613
CITRUS	240	68	22.08%	308
CLAY	478	98	17.01%	576
COLLIER	706	146	17.14%	852
COLUMBIA	97	0	0.00%	97
DESOTO	21	34	61.82%	55
DUVAL	2,822	918	24.55%	3,740
ESCAMBIA	1,106	350	24.04%	1,456
FLAGLER	83	16	16.16%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	625	328	34.42%	953
GULF	4	17	80.95%	21
HARDEE	22	3	12.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	500	230	31.51%	730
HIGHLANDS	197	60	23.35%	257
HILLSBOROUGH	3,230	721	18.25%	3,951
HOLMES	15	5	25.00%	20
INDIAN RIVER	329	132	28.63%	461
JACKSON	48	42	46.67%	90
LAKE	664	236	26.22%	900
LEE	1,482	316	17.58%	1,798
LEON	736	137	15.69%	873
MADISON	4	11	73.33%	15
MANATEE	716	79	9.94%	795
MARION	791	114	12.60%	905
MARTIN	257	255	49.80%	512
MIAMI-DADE	6,223	2,412	27.93%	8,635
MONROE	86	96	52.75%	182
NASSAU	39	29	42.65%	68
OKALOOSA	369	87	19.08%	456
OKEECHOBEE	67	33	33.00%	100
ORANGE	3,395	1,060	23.79%	4,455
OSCEOLA	884	290	24.70%	1,174
PALM BEACH	2,781	1,287	31.64%	4,068
PASCO	1,138	235	17.12%	1,373
PINELLAS	2,333	774	24.91%	3,107
POLK	1,327	359	21.29%	1,686
PUTNAM	61	23	27.38%	84
SANTA ROSA	118	231	66.19%	349
SARASOTA	1,074	217	16.81%	1,291
SEMINOLE	742	196	20.90%	938
ST. JOHNS	189	140	42.55%	329
ST. LUCIE	740	161	17.87%	901
SUMTER	258	89	25.65%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	62	27	30.34%	89
VOLUSIA	1,057	524	33.14%	1,581
WALTON	61	56	47.86%	117
WASHINGTON	40	19	32.20%	59
