County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,425	13,541	21.85%	61,966
ALACHUA	1,530	243	13.71%	1,773
BAKER	480	145	23.20%	625
BAY	468	87	15.68%	555
BRADFORD	5	5	50.00%	10
BREVARD	1,241	413	24.97%	1,654
BROWARD	4,452	965	17.81%	5,417
CALHOUN	2	8	80.00%	10
CHARLOTTE	455	140	23.53%	595
CITRUS	235	64	21.40%	299
CLAY	503	55	9.86%	558
COLLIER	819	104	11.27%	923
COLUMBIA	95	0	0.00%	95
DESOTO	18	40	68.97%	58
DUVAL	2,789	1,005	26.49%	3,794
ESCAMBIA	1,039	444	29.94%	1,483
FLAGLER	96	3	3.03%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	667	286	30.01%	953
GULF	8	13	61.90%	21
HARDEE	22	3	12.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	574	161	21.90%	735
HIGHLANDS	247	19	7.14%	266
HILLSBOROUGH	3,300	784	19.20%	4,084
HOLMES	11	9	45.00%	20
INDIAN RIVER	394	69	14.90%	463
JACKSON	42	50	54.35%	92
LAKE	738	173	18.99%	911
LEE	1,586	249	13.57%	1,835
LEON	743	100	11.86%	843
MADISON	16	0	0.00%	16
MANATEE	643	139	17.77%	782
MARION	877	99	10.14%	976
MARTIN	276	162	36.99%	438
MIAMI-DADE	6,685	2,068	23.63%	8,753
MONROE	75	94	55.62%	169
NASSAU	34	34	50.00%	68
OKALOOSA	367	93	20.22%	460
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,487	1,096	23.91%	4,583
OSCEOLA	951	196	17.09%	1,147
PALM BEACH	3,016	1,045	25.73%	4,061
PASCO	1,104	337	23.39%	1,441
PINELLAS	2,429	758	23.78%	3,187
POLK	1,387	329	19.17%	1,716
PUTNAM	63	21	25.00%	84
SANTA ROSA	116	146	55.73%	262
SARASOTA	1,145	88	7.14%	1,233
SEMINOLE	728	210	22.39%	938
ST. JOHNS	188	144	43.37%	332
ST. LUCIE	733	122	14.27%	855
SUMTER	251	96	27.67%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	43	32	42.67%	75
VOLUSIA	1,076	442	29.12%	1,518
WALTON	66	48	42.11%	114
WASHINGTON	47	12	20.34%	59
