County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,757	12,060	19.20%	62,817
ALACHUA	1,638	171	9.45%	1,809
BAKER	488	137	21.92%	625
BAY	487	91	15.74%	578
BRADFORD	5	5	50.00%	10
BREVARD	1,293	361	21.83%	1,654
BROWARD	4,517	916	16.86%	5,433
CALHOUN	8	2	20.00%	10
CHARLOTTE	434	172	28.38%	606
CITRUS	232	74	24.18%	306
CLAY	486	73	13.06%	559
COLLIER	834	94	10.13%	928
COLUMBIA	107	0	0.00%	107
DESOTO	36	22	37.93%	58
DUVAL	3,080	756	19.71%	3,836
ESCAMBIA	1,107	376	25.35%	1,483
FLAGLER	94	7	6.93%	101
FRANKLIN	3	12	80.00%	15
GADSDEN	640	313	32.84%	953
GULF	10	11	52.38%	21
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	571	167	22.63%	738
HIGHLANDS	274	10	3.52%	284
HILLSBOROUGH	3,559	698	16.40%	4,257
HOLMES	16	4	20.00%	20
INDIAN RIVER	377	98	20.63%	475
JACKSON	46	49	51.58%	95
LAKE	772	172	18.22%	944
LEE	1,662	180	9.77%	1,842
LEON	794	93	10.48%	887
MADISON	7	8	53.33%	15
MANATEE	701	102	12.70%	803
MARION	932	73	7.26%	1,005
MARTIN	311	136	30.43%	447
MIAMI-DADE	6,871	1,932	21.95%	8,803
MONROE	77	94	54.97%	171
NASSAU	45	23	33.82%	68
OKALOOSA	380	81	17.57%	461
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,618	1,046	22.43%	4,664
OSCEOLA	968	193	16.62%	1,161
PALM BEACH	3,166	958	23.23%	4,124
PASCO	1,214	202	14.27%	1,416
PINELLAS	2,549	641	20.09%	3,190
POLK	1,520	237	13.49%	1,757
PUTNAM	71	13	15.48%	84
SANTA ROSA	139	129	48.13%	268
SARASOTA	1,179	110	8.53%	1,289
SEMINOLE	754	200	20.96%	954
ST. JOHNS	202	129	38.97%	331
ST. LUCIE	781	98	11.15%	879
SUMTER	275	72	20.75%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	48	27	36.00%	75
VOLUSIA	1,165	367	23.96%	1,532
WALTON	75	39	34.21%	114
WASHINGTON	42	17	28.81%	59
