County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,990	17,350	28.28%	61,340
ALACHUA	1,435	290	16.81%	1,725
BAKER	519	106	16.96%	625
BAY	402	151	27.31%	553
BRADFORD	5	5	50.00%	10
BREVARD	1,149	474	29.21%	1,623
BROWARD	3,998	1,379	25.65%	5,377
CALHOUN	5	5	50.00%	10
CHARLOTTE	442	175	28.36%	617
CITRUS	211	127	37.57%	338
CLAY	465	94	16.82%	559
COLLIER	726	138	15.97%	864
COLUMBIA	105	0	0.00%	105
DESOTO	30	29	49.15%	59
DUVAL	2,574	1,212	32.01%	3,786
ESCAMBIA	957	499	34.27%	1,456
FLAGLER	89	10	10.10%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	547	406	42.60%	953
GULF	3	19	86.36%	22
HARDEE	25	0	0.00%	25
HENDRY	6	25	80.65%	31
HERNANDO	512	207	28.79%	719
HIGHLANDS	213	52	19.62%	265
HILLSBOROUGH	2,929	1,086	27.05%	4,015
HOLMES	14	6	30.00%	20
INDIAN RIVER	295	163	35.59%	458
JACKSON	60	37	38.14%	97
LAKE	613	279	31.28%	892
LEE	1,454	348	19.31%	1,802
LEON	662	175	20.91%	837
MADISON	9	6	40.00%	15
MANATEE	608	145	19.26%	753
MARION	784	111	12.40%	895
MARTIN	277	154	35.73%	431
MIAMI-DADE	6,042	2,607	30.14%	8,649
MONROE	61	111	64.53%	172
NASSAU	22	46	67.65%	68
OKALOOSA	333	120	26.49%	453
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,050	1,360	30.84%	4,410
OSCEOLA	810	330	28.95%	1,140
PALM BEACH	2,725	1,175	30.13%	3,900
PASCO	1,087	337	23.67%	1,424
PINELLAS	2,177	1,057	32.68%	3,234
POLK	1,215	470	27.89%	1,685
PUTNAM	62	22	26.19%	84
SANTA ROSA	110	228	67.46%	338
SARASOTA	934	79	7.80%	1,013
SEMINOLE	682	266	28.06%	948
ST. JOHNS	163	169	50.90%	332
ST. LUCIE	668	183	21.50%	851
SUMTER	243	104	29.97%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	45	30	40.00%	75
VOLUSIA	1,301	579	30.80%	1,880
WALTON	37	78	67.83%	115
WASHINGTON	36	23	38.98%	59
