County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,200	1,000	16.13%	6,200	438	243	35.68%	681
ALACHUA	272	36	11.69%	308	43	4	8.51%	47
BAKER	0	0		0	0	0		0
BAY	53	11	17.19%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	142	44	23.66%	186	0	0		0
BROWARD	401	81	16.80%	482	53	30	36.14%	83
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	7	13.73%	51	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	42	8	16.00%	50	0	4	100.00%	4
COLLIER	74	11	12.94%	85	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	342	95	21.74%	437	21	7	25.00%	28
ESCAMBIA	133	8	5.67%	141	3	15	83.33%	18
FLAGLER	19	0	0.00%	19	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	57	8	12.31%	65	0	0		0
HIGHLANDS	26	4	13.33%	30	0	0		0
HILLSBOROUGH	347	43	11.03%	390	24	19	44.19%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	25	9	26.47%	34	0	0		0
JACKSON	6	1	14.29%	7	0	0		0
LAKE	83	21	20.19%	104	0	0		0
LEE	127	14	9.93%	141	71	15	17.44%	86
LEON	67	5	6.94%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	59	9	13.24%	68	0	0		0
MARION	93	10	9.71%	103	0	0		0
MARTIN	16	5	23.81%	21	0	0		0
MIAMI-DADE	851	139	14.04%	990	68	60	46.88%	128
MONROE	9	4	30.77%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	52	3	5.45%	55	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	313	82	20.76%	395	75	51	40.48%	126
OSCEOLA	103	25	19.53%	128	0	0		0
PALM BEACH	306	109	26.27%	415	17	15	46.88%	32
PASCO	128	10	7.25%	138	0	0		0
PINELLAS	273	68	19.94%	341	45	3	6.25%	48
POLK	164	19	10.38%	183	11	3	21.43%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	16	8	33.33%	24	0	0		0
SARASOTA	87	16	15.53%	103	0	0		0
SEMINOLE	71	2	2.74%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	84	6	6.67%	90	3	3	50.00%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	163	32	16.41%	195	0	5	100.00%	5
WALTON	16	6	27.27%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
