County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,141	14,690	24.15%	60,831
ALACHUA	1,455	266	15.46%	1,721
BAKER	486	139	22.24%	625
BAY	442	108	19.64%	550
BRADFORD	5	5	50.00%	10
BREVARD	1,148	428	27.16%	1,576
BROWARD	4,103	1,014	19.82%	5,117
CALHOUN	5	5	50.00%	10
CHARLOTTE	486	229	32.03%	715
CITRUS	229	62	21.31%	291
CLAY	480	68	12.41%	548
COLLIER	685	171	19.98%	856
COLUMBIA	106	6	5.36%	112
DESOTO	21	27	56.25%	48
DUVAL	2,822	943	25.05%	3,765
ESCAMBIA	1,030	459	30.83%	1,489
FLAGLER	68	28	29.17%	96
FRANKLIN	0	15	100.00%	15
GADSDEN	759	194	20.36%	953
GULF	3	18	85.71%	21
HARDEE	24	1	4.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	517	213	29.18%	730
HIGHLANDS	188	70	27.13%	258
HILLSBOROUGH	3,135	684	17.91%	3,819
HOLMES	10	10	50.00%	20
INDIAN RIVER	293	179	37.92%	472
JACKSON	29	71	71.00%	100
LAKE	718	193	21.19%	911
LEE	1,451	403	21.74%	1,854
LEON	770	106	12.10%	876
MADISON	6	9	60.00%	15
MANATEE	644	135	17.33%	779
MARION	821	120	12.75%	941
MARTIN	259	231	47.14%	490
MIAMI-DADE	6,538	2,020	23.60%	8,558
MONROE	99	22	18.18%	121
NASSAU	46	18	28.13%	64
OKALOOSA	341	108	24.05%	449
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,351	1,004	23.05%	4,355
OSCEOLA	847	291	25.57%	1,138
PALM BEACH	2,795	1,230	30.56%	4,025
PASCO	1,038	365	26.02%	1,403
PINELLAS	2,222	840	27.43%	3,062
POLK	1,326	333	20.07%	1,659
PUTNAM	61	23	27.38%	84
SANTA ROSA	137	224	62.05%	361
SARASOTA	959	254	20.94%	1,213
SEMINOLE	738	210	22.15%	948
ST. JOHNS	206	125	37.76%	331
ST. LUCIE	678	196	22.43%	874
SUMTER	210	137	39.48%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	66	46	41.07%	112
VOLUSIA	1,111	491	30.65%	1,602
WALTON	66	51	43.59%	117
WASHINGTON	42	17	28.81%	59
