County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,115	1,102	17.73%	6,217	421	250	37.26%	671
ALACHUA	276	32	10.39%	308	38	9	19.15%	47
BAKER	0	0		0	0	0		0
BAY	52	11	17.46%	63	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	136	50	26.88%	186	0	0		0
BROWARD	386	91	19.08%	477	55	29	34.52%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	7	13.46%	52	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	43	7	14.00%	50	0	4	100.00%	4
COLLIER	73	13	15.12%	86	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	352	85	19.45%	437	20	8	28.57%	28
ESCAMBIA	133	8	5.67%	141	1	15	93.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	56	9	13.85%	65	0	0		0
HIGHLANDS	28	4	12.50%	32	0	0		0
HILLSBOROUGH	343	50	12.72%	393	18	24	57.14%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	9	25.00%	36	0	0		0
JACKSON	6	1	14.29%	7	0	0		0
LAKE	83	21	20.19%	104	0	0		0
LEE	124	17	12.06%	141	67	19	22.09%	86
LEON	70	2	2.78%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	52	16	23.53%	68	0	0		0
MARION	79	21	21.00%	100	0	0		0
MARTIN	15	6	28.57%	21	0	0		0
MIAMI-DADE	825	155	15.82%	980	63	62	49.60%	125
MONROE	11	2	15.38%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	51	5	8.93%	56	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	308	89	22.42%	397	75	51	40.48%	126
OSCEOLA	98	30	23.44%	128	0	0		0
PALM BEACH	309	94	23.33%	403	24	8	25.00%	32
PASCO	111	45	28.85%	156	0	0		0
PINELLAS	277	65	19.01%	342	40	3	6.98%	43
POLK	143	40	21.86%	183	12	2	14.29%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	89	22	19.82%	111	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	88	4	4.35%	92	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	173	31	15.20%	204	1	4	80.00%	5
WALTON	17	5	22.73%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
