County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,258	15,063	24.56%	61,321
ALACHUA	1,474	232	13.60%	1,706
BAKER	520	105	16.80%	625
BAY	407	152	27.19%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,154	464	28.68%	1,618
BROWARD	4,276	1,115	20.68%	5,391
CALHOUN	20	0	0.00%	20
CHARLOTTE	394	206	34.33%	600
CITRUS	228	69	23.23%	297
CLAY	495	61	10.97%	556
COLLIER	755	105	12.21%	860
COLUMBIA	92	0	0.00%	92
DESOTO	37	19	33.93%	56
DUVAL	2,749	810	22.76%	3,559
ESCAMBIA	1,070	386	26.51%	1,456
FLAGLER	93	6	6.06%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	546	407	42.71%	953
GULF	9	12	57.14%	21
HARDEE	24	1	4.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	518	222	30.00%	740
HIGHLANDS	220	48	17.91%	268
HILLSBOROUGH	3,314	861	20.62%	4,175
HOLMES	15	5	25.00%	20
INDIAN RIVER	319	138	30.20%	457
JACKSON	55	45	45.00%	100
LAKE	657	241	26.84%	898
LEE	1,487	323	17.85%	1,810
LEON	692	146	17.42%	838
MADISON	7	8	53.33%	15
MANATEE	656	101	13.34%	757
MARION	796	164	17.08%	960
MARTIN	280	154	35.48%	434
MIAMI-DADE	6,291	2,323	26.97%	8,614
MONROE	77	92	54.44%	169
NASSAU	39	29	42.65%	68
OKALOOSA	351	100	22.17%	451
OKEECHOBEE	40	60	60.00%	100
ORANGE	3,372	1,047	23.69%	4,419
OSCEOLA	834	333	28.53%	1,167
PALM BEACH	2,841	1,184	29.42%	4,025
PASCO	1,088	277	20.29%	1,365
PINELLAS	2,260	1,049	31.70%	3,309
POLK	1,348	382	22.08%	1,730
PUTNAM	70	14	16.67%	84
SANTA ROSA	107	238	68.99%	345
SARASOTA	1,126	117	9.41%	1,243
SEMINOLE	690	251	26.67%	941
ST. JOHNS	174	157	47.43%	331
ST. LUCIE	706	145	17.04%	851
SUMTER	261	86	24.78%	347
SUWANNEE	0	0		0
TAYLOR	3	3	50.00%	6
UNION	44	31	41.33%	75
VOLUSIA	1,049	439	29.50%	1,488
WALTON	70	45	39.13%	115
WASHINGTON	40	19	32.20%	59
