County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,194	14,249	22.82%	62,443
ALACHUA	1,459	279	16.05%	1,738
BAKER	480	145	23.20%	625
BAY	468	86	15.52%	554
BRADFORD	5	5	50.00%	10
BREVARD	1,246	414	24.94%	1,660
BROWARD	4,314	1,018	19.09%	5,332
CALHOUN	5	5	50.00%	10
CHARLOTTE	448	148	24.83%	596
CITRUS	206	85	29.21%	291
CLAY	488	85	14.83%	573
COLLIER	796	123	13.38%	919
COLUMBIA	102	0	0.00%	102
DESOTO	18	40	68.97%	58
DUVAL	2,727	1,038	27.57%	3,765
ESCAMBIA	1,084	390	26.46%	1,474
FLAGLER	91	8	8.08%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	682	271	28.44%	953
GULF	4	17	80.95%	21
HARDEE	24	1	4.00%	25
HENDRY	4	25	86.21%	29
HERNANDO	555	178	24.28%	733
HIGHLANDS	231	28	10.81%	259
HILLSBOROUGH	3,278	860	20.78%	4,138
HOLMES	12	8	40.00%	20
INDIAN RIVER	379	87	18.67%	466
JACKSON	48	46	48.94%	94
LAKE	1,003	282	21.95%	1,285
LEE	1,551	283	15.43%	1,834
LEON	718	120	14.32%	838
MADISON	11	4	26.67%	15
MANATEE	652	99	13.18%	751
MARION	881	91	9.36%	972
MARTIN	291	141	32.64%	432
MIAMI-DADE	6,465	2,271	26.00%	8,736
MONROE	69	100	59.17%	169
NASSAU	47	21	30.88%	68
OKALOOSA	355	96	21.29%	451
OKEECHOBEE	49	51	51.00%	100
ORANGE	3,392	1,142	25.19%	4,534
OSCEOLA	931	224	19.39%	1,155
PALM BEACH	2,972	1,038	25.89%	4,010
PASCO	1,174	267	18.53%	1,441
PINELLAS	2,378	817	25.57%	3,195
POLK	1,428	346	19.50%	1,774
PUTNAM	60	24	28.57%	84
SANTA ROSA	100	150	60.00%	250
SARASOTA	1,105	161	12.72%	1,266
SEMINOLE	703	251	26.31%	954
ST. JOHNS	208	124	37.35%	332
ST. LUCIE	721	134	15.67%	855
SUMTER	517	137	20.95%	654
SUWANNEE	0	0		0
TAYLOR	10	2	16.67%	12
UNION	55	15	21.43%	70
VOLUSIA	1,077	397	26.93%	1,474
WALTON	65	49	42.98%	114
WASHINGTON	49	10	16.95%	59
