County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,455	1,584	26.23%	6,039	367	226	38.11%	593
ALACHUA	264	44	14.29%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	50	12	19.35%	62	2	2	50.00%	4
BREVARD	118	48	28.92%	166	0	0		0
BROWARD	338	129	27.62%	467	41	34	45.33%	75
CALHOUN	0	0		0	0	0		0
CHARLOTTE	40	15	27.27%	55	0	0		0
CITRUS	29	11	27.50%	40	0	0		0
CLAY	34	8	19.05%	42	3	3	50.00%	6
COLLIER	54	24	30.77%	78	0	0		0
COLUMBIA	20	5	20.00%	25	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	314	125	28.47%	439	24	16	40.00%	40
ESCAMBIA	97	15	13.39%	112	2	14	87.50%	16
FLAGLER	8	10	55.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	44	21	32.31%	65	0	0		0
HIGHLANDS	18	42	70.00%	60	0	0		0
HILLSBOROUGH	328	98	23.00%	426	18	25	58.14%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	12	37.50%	32	0	0		0
JACKSON	2	4	66.67%	6	0	0		0
LAKE	64	18	21.95%	82	0	0		0
LEE	129	27	17.31%	156	62	29	31.87%	91
LEON	53	19	26.39%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	67	32	32.32%	99	0	0		0
MARION	74	33	30.84%	107	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	710	272	27.70%	982	70	13	15.66%	83
MONROE	5	9	64.29%	14	0	0		0
NASSAU	4	4	50.00%	8	0	0		0
OKALOOSA	49	7	12.50%	56	0	0		0
OKEECHOBEE	4	4	50.00%	8	0	0		0
ORANGE	245	50	16.95%	295	51	42	45.16%	93
OSCEOLA	57	28	32.94%	85	0	6	100.00%	6
PALM BEACH	316	93	22.74%	409	19	12	38.71%	31
PASCO	101	34	25.19%	135	0	0		0
PINELLAS	252	74	22.70%	326	28	10	26.32%	38
POLK	115	44	27.67%	159	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	8	13	61.90%	21	0	0		0
SARASOTA	60	37	38.14%	97	0	0		0
SEMINOLE	59	12	16.90%	71	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	75	15	16.67%	90	5	1	16.67%	6
SUMTER	23	17	42.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	151	51	25.25%	202	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
