County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,155	12,903	20.46%	63,058
ALACHUA	1,555	240	13.37%	1,795
BAKER	479	146	23.36%	625
BAY	458	88	16.12%	546
BRADFORD	5	5	50.00%	10
BREVARD	1,256	403	24.29%	1,659
BROWARD	4,465	921	17.10%	5,386
CALHOUN	3	7	70.00%	10
CHARLOTTE	488	123	20.13%	611
CITRUS	250	55	18.03%	305
CLAY	487	87	15.16%	574
COLLIER	808	113	12.27%	921
COLUMBIA	112	0	0.00%	112
DESOTO	28	30	51.72%	58
DUVAL	2,889	909	23.93%	3,798
ESCAMBIA	1,120	353	23.96%	1,473
FLAGLER	89	10	10.10%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	681	272	28.54%	953
GULF	5	16	76.19%	21
HARDEE	24	1	4.00%	25
HENDRY	4	25	86.21%	29
HERNANDO	549	174	24.07%	723
HIGHLANDS	255	14	5.20%	269
HILLSBOROUGH	3,358	790	19.05%	4,148
HOLMES	13	7	35.00%	20
INDIAN RIVER	373	91	19.61%	464
JACKSON	50	40	44.44%	90
LAKE	1,053	247	19.00%	1,300
LEE	1,590	232	12.73%	1,822
LEON	742	112	13.11%	854
MADISON	10	5	33.33%	15
MANATEE	712	90	11.22%	802
MARION	902	76	7.77%	978
MARTIN	283	138	32.78%	421
MIAMI-DADE	6,654	2,088	23.88%	8,742
MONROE	85	87	50.58%	172
NASSAU	44	24	35.29%	68
OKALOOSA	383	78	16.92%	461
OKEECHOBEE	63	37	37.00%	100
ORANGE	3,595	1,008	21.90%	4,603
OSCEOLA	926	233	20.10%	1,159
PALM BEACH	3,090	1,024	24.89%	4,114
PASCO	1,246	229	15.53%	1,475
PINELLAS	2,563	639	19.96%	3,202
POLK	1,477	305	17.12%	1,782
PUTNAM	61	23	27.38%	84
SANTA ROSA	111	133	54.51%	244
SARASOTA	1,180	152	11.41%	1,332
SEMINOLE	756	198	20.75%	954
ST. JOHNS	217	116	34.83%	333
ST. LUCIE	751	129	14.66%	880
SUMTER	523	131	20.03%	654
SUWANNEE	0	0		0
TAYLOR	12	5	29.41%	17
UNION	55	15	21.43%	70
VOLUSIA	1,149	363	24.01%	1,512
WALTON	70	44	38.60%	114
WASHINGTON	45	10	18.18%	55
