County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,919	14,154	23.56%	60,073
ALACHUA	1,313	334	20.28%	1,647
BAKER	110	515	82.40%	625
BAY	428	151	26.08%	579
BRADFORD	5	5	50.00%	10
BREVARD	1,147	455	28.40%	1,602
BROWARD	4,391	955	17.86%	5,346
CALHOUN	8	2	20.00%	10
CHARLOTTE	461	237	33.95%	698
CITRUS	209	106	33.65%	315
CLAY	467	78	14.31%	545
COLLIER	740	150	16.85%	890
COLUMBIA	101	22	17.89%	123
DESOTO	24	31	56.36%	55
DUVAL	2,908	886	23.35%	3,794
ESCAMBIA	984	380	27.86%	1,364
FLAGLER	73	26	26.26%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	17	12	41.38%	29
HERNANDO	537	208	27.92%	745
HIGHLANDS	218	37	14.51%	255
HILLSBOROUGH	3,275	685	17.30%	3,960
HOLMES	14	6	30.00%	20
INDIAN RIVER	315	150	32.26%	465
JACKSON	50	56	52.83%	106
LAKE	655	247	27.38%	902
LEE	1,540	291	15.89%	1,831
LEON	669	182	21.39%	851
MADISON	6	9	60.00%	15
MANATEE	672	130	16.21%	802
MARION	766	137	15.17%	903
MARTIN	250	240	48.98%	490
MIAMI-DADE	6,949	1,518	17.93%	8,467
MONROE	73	30	29.13%	103
NASSAU	49	37	43.02%	86
OKALOOSA	346	105	23.28%	451
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,263	1,130	25.72%	4,393
OSCEOLA	825	336	28.94%	1,161
PALM BEACH	2,899	1,284	30.70%	4,183
PASCO	1,124	257	18.61%	1,381
PINELLAS	2,388	518	17.83%	2,906
POLK	1,287	369	22.28%	1,656
PUTNAM	69	15	17.86%	84
SANTA ROSA	161	202	55.65%	363
SARASOTA	992	254	20.39%	1,246
SEMINOLE	732	193	20.86%	925
ST. JOHNS	194	135	41.03%	329
ST. LUCIE	729	160	18.00%	889
SUMTER	236	111	31.99%	347
SUWANNEE	0	0		0
TAYLOR	2	14	87.50%	16
UNION	49	82	62.60%	131
VOLUSIA	1,009	534	34.61%	1,543
WALTON	62	55	47.01%	117
WASHINGTON	44	15	25.42%	59
